model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,0,0.6448531681747057,0.10234455421212321
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,1,0.6701362776647732,0.029773328358001536
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,2,0.6524886263764245,0.010169377272862955
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,3,0.6506236345451576,0.009207204713120708
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,4,0.6504445687569264,0.010112553397728454
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,5,0.6477571401713231,0.011831288497516964
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,6,0.6481780433603149,0.013883955827234
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,7,0.6514570575770003,0.016644815287413312
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,8,0.6539110953964761,0.020205285981281712
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,9,0.6567230170902484,0.025278880786348733
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,10,0.6600441034188368,0.03177948022059308
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,11,0.6571957013027162,0.03766020028120533
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,12,0.6246785214351147,0.24133178379741552
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,0,0.4084167726490495,0.04514357352602521
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,1,0.43831876672725817,0.06114837961344354
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,2,0.5122185723496548,0.054582159270388064
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,3,0.543403446478681,0.05645587444817097
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,4,0.5590265078769533,0.061068611298148
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,5,0.5574303104827987,0.06822705371595537
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,6,0.5555799125085139,0.07469845773441253
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,7,0.54414086451781,0.0797129231581874
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,8,0.5245258003217722,0.07975852548472369
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,9,0.5031667815637166,0.07594811774107124
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,10,0.47436563847106494,0.0685842221180058
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,11,0.4358626451800728,0.05834478987773847
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,12,0.4464805686791415,0.07370751241705822
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,0,0.6561553583768538,0.12102591455953683
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,1,0.6589650065452429,0.0990581258275017
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,2,0.6403191302983846,0.03502698898902418
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,3,0.6323962749525245,0.030113664253109306
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,4,0.6323183964544555,0.03439283335993595
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,5,0.6261188893636064,0.04477264903137228
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,6,0.6315272341944352,0.06194232204588448
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,7,0.6387766146835852,0.07634492910395733
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,8,0.6413789467766042,0.09284371660819049
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,9,0.6408157500761767,0.11153322155269305
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,10,0.6420700156751469,0.12225254454889593
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,11,0.6195416415047619,0.11628585303420882
goldfish-models/rus_cyrl_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,12,0.6319081076843757,0.23227267851160976
