model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,0,0.7780973986317664,0.07336671262916034
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,1,0.7668085808755919,0.016632001235540372
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,2,0.7698046445553434,0.0053672278455845915
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,3,0.7678208661063818,0.00510188120530771
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,4,0.7669924993364968,0.004804297157210808
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,5,0.7679139554964366,0.00485124562339231
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,6,0.7696804309894789,0.0054366139200308135
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,7,0.7738170913957109,0.006815354485528064
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,8,0.7771320569013236,0.00906372395759527
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,9,0.7806084203336973,0.01281646727590073
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,10,0.7843461073141135,0.01769478956270934
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,11,0.7834282522432564,0.02195118411289454
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,mean_pool,12,0.7381568575422723,0.13460422304762262
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,0,0.15244505779599246,0.020917101749660234
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,1,0.198271617406842,0.02452395770139107
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,2,0.23234657571388798,0.020418760548713583
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,3,0.25109915344149647,0.022905444948301313
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,4,0.2674772314364966,0.025757224919866015
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,5,0.27165745776319206,0.027198544870068498
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,6,0.2797026052009476,0.028618834254301482
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,7,0.2955175951142061,0.02949011591236079
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,8,0.31153659542039236,0.030713627962279732
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,9,0.32050712206384047,0.029303081971422472
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,10,0.3284381017767682,0.02658039364607787
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,11,0.32033899444862085,0.0237822063869328
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,token_aligned,12,0.35097643740817197,0.024870263800577302
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,0,0.7965258221792951,0.08524264280940512
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,1,0.767302731323819,0.07500242230653706
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,2,0.7632321031018893,0.037190015837178986
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,3,0.7464506814889404,0.03889246885816672
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,4,0.7371603771161684,0.04054784607024332
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,5,0.7378881248774155,0.04089435201592748
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,6,0.7413355859586497,0.04383787599427609
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,7,0.753907802763714,0.05308842684849027
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,8,0.7654777661332255,0.07039800944247493
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,9,0.7672723161443188,0.09059569420699336
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,10,0.763507581513914,0.10390694634352976
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,11,0.7504389630232453,0.10543351686320512
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,opus,sgpt,12,0.7399483359915756,0.1415550389541415
