model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,0,0.5539773556097058,0.10464598987770427
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,1,0.5447773605752562,0.024718103524961326
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,2,0.5171871241022437,0.00509950780006212
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,3,0.5152202584812777,0.004667963276254109
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,4,0.5178427968893801,0.004626223554773702
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,5,0.5184615848448493,0.005496096073044635
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,6,0.5225358193884725,0.006363924126521364
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,7,0.5244666663528081,0.008248149780493461
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,8,0.5344051681900431,0.011195026331659728
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,9,0.5451172834945863,0.014838225213635394
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,10,0.5601769648084787,0.020346321645771732
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,11,0.5746242832749718,0.026080119468123608
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,mean_pool,12,0.6099227082995626,0.18207526637448854
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,0,0.20231025232330194,0.03180616488034068
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,1,0.2916956275119322,0.03579725259567944
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,2,0.3506567399525194,0.029592713499894428
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,3,0.3598316957576798,0.03315948242523278
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,4,0.34667914969017166,0.03813924026605085
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,5,0.33540317785750834,0.041590046311553754
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,6,0.3380784110267036,0.04490494508370556
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,7,0.34487032482496244,0.04802364509214729
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,8,0.35923767553537733,0.048188376475150625
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,9,0.36929352174634705,0.0428935778546283
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,10,0.3877978191311106,0.03703345779239369
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,11,0.39797644387859854,0.030746638763190854
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,token_aligned,12,0.4740977047926303,0.03353438731921966
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,0,0.5730112960735777,0.1233645702311433
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,1,0.5816408712163821,0.10886256187165903
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,2,0.5238354061175343,0.045078669810418054
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,3,0.49800036039917245,0.042400592193545125
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,4,0.4898740042484263,0.04436758661149269
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,5,0.4912228557087367,0.04649523115090285
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,6,0.5002643149628657,0.05281081364053259
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,7,0.5133758109634255,0.06782411962851714
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,8,0.5422796777262284,0.09032442823874616
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,9,0.5703875239574223,0.11252061916381659
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,10,0.5914446814243945,0.12220587884238507
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,11,0.5899181533172283,0.1199444478880911
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,opus,sgpt,12,0.6317306416814078,0.17736930254916947
