model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,0,0.6782319257381461,0.09038451006372593
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,1,0.7763975652371667,0.03205630879588542
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,2,0.7699301603140332,0.010739750914470842
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,3,0.7648267507605201,0.010780127689228359
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,4,0.7642025812361259,0.011038689891537582
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,5,0.7650806931665473,0.011830175472018528
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,6,0.768749820906581,0.014447165685656682
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,7,0.7691961294434123,0.020441869602101974
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,8,0.7727735433277797,0.028082292759310994
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,9,0.7725713105683366,0.037623833944272225
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,10,0.7736191323370898,0.04829980934115882
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,11,0.7705110083928792,0.055940597661388536
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,mean_pool,12,0.7038468538874617,0.15414551994762882
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,0,0.10553490005975091,0.013925677875615404
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,1,0.18770254048461368,0.01661197921700171
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,2,0.24212649312057943,0.014565024388116982
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,3,0.24541497670686221,0.017232558873696152
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,4,0.24051260832476148,0.020782146474102564
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,5,0.24112627926723987,0.023177110688932932
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,6,0.24396476854730106,0.02352654654156314
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,7,0.26003916536956506,0.024545350633624275
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,8,0.2848420599290411,0.025140946851464018
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,9,0.3059909162852977,0.024085812777762276
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,10,0.31868968384540985,0.02241000308467962
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,11,0.31863527181755674,0.019663548465288797
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,token_aligned,12,0.35809176595294834,0.020347180907484823
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,0,0.6912258023566662,0.07491824747308855
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,1,0.7629998699165959,0.08016609047367163
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,2,0.7757807781247891,0.04830750148534015
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,3,0.7631192898290405,0.06520765855363692
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,4,0.759687410493711,0.07926165393633142
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,5,0.755589565833182,0.08213670626443138
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,6,0.7550347923356243,0.09259098467750698
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,7,0.7458935285280395,0.1154315752112779
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,8,0.7527644832501216,0.14098419494174053
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,9,0.7566110493297802,0.15266820595507785
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,10,0.7454721516996007,0.15084882168260835
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,11,0.7196937982936813,0.1348061158074613
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,opus,sgpt,12,0.7180343601742187,0.16172494877609359
