model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,0,0.7157885846648346,0.09181495427028122
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,1,0.7379200664994229,0.027132477524207523
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,2,0.7166834249005132,0.007028688294513811
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,3,0.711194867473346,0.006583169388496057
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,4,0.7068933066285615,0.006444591000972858
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,5,0.7061417963543329,0.007009081846587047
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,6,0.7078600896950664,0.008573731080709137
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,7,0.712614837835404,0.011165099298320696
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,8,0.7191712353815789,0.015914769842757106
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,9,0.7285793083486023,0.02382948589880977
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,10,0.7368196310702482,0.034206079729802316
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,11,0.7394258946644483,0.04153853687619968
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,mean_pool,12,0.73008774035584,0.15272199245265644
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,0,0.11724185733666959,0.012269442465713225
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,1,0.22449269654658224,0.016468774167011587
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,2,0.2931691704622671,0.013267438442028425
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,3,0.2903715412546446,0.0148832058238209
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,4,0.27619511661136126,0.017574031052806978
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,5,0.2669942690040452,0.020057894638470897
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,6,0.2641743146183491,0.021570450340748275
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,7,0.2705333144227314,0.022699380366809442
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,8,0.27830584613285275,0.023638448236112775
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,9,0.2943223564361246,0.02305159177304305
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,10,0.3166174710088428,0.021093312193360147
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,11,0.32058545767864194,0.01794191135858635
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,token_aligned,12,0.3930054116379433,0.019940251492329083
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,0,0.7159634812038794,0.10766914637719391
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,1,0.7605979111961494,0.09294994776628697
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,2,0.7591554037275333,0.05287819099966112
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,3,0.7334330094137687,0.058004204035266856
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,4,0.7161069891616085,0.06797078951425613
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,5,0.7169435937469545,0.0751129858396907
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,6,0.718003939474683,0.09119862533259591
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,7,0.7328973477675879,0.10913251274490207
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,8,0.74561157089865,0.13153744244124657
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,9,0.7548680506728369,0.14670737307011755
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,10,0.7506865928502344,0.144618091598805
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,11,0.7342641031908445,0.12927342803598163
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,opus,sgpt,12,0.7406678170459302,0.1590482487307255
