model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,0,0.5182029420038784,0.1877177919268387
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,1,0.404001521093746,0.0797706032795245
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,2,0.33786844552199163,0.017769107141534294
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,3,0.33353210460210436,0.01705423219209297
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,4,0.33270825059012754,0.02031234320766751
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,5,0.33834198929819526,0.02682256120351676
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,6,0.34764496681848994,0.03203357183575273
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,7,0.3610383650294332,0.041505365113763945
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,8,0.3775173314092864,0.05500960840701697
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,9,0.4022651636526536,0.06972557285370101
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,10,0.4261638858911027,0.0890279175335867
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,11,0.4380359217766484,0.10288760000484319
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,12,0.6486364363493313,0.2531783440810143
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,0,0.31932222456097137,0.06129839665638072
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,1,0.3454000491346258,0.07623295641663845
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,2,0.365779435691503,0.07089015287336743
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,3,0.4076664806605103,0.07313352769252797
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,4,0.4453893661638028,0.07665107497314678
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,5,0.46556067171665777,0.08025617060409233
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,6,0.47171187397828784,0.0842813952750054
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,7,0.4712792428223033,0.08728376882603833
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,8,0.462754028948488,0.08852985487299664
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,9,0.4387834699079692,0.08731201981697985
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,10,0.4068122304185852,0.0826774522910298
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,11,0.3717705996377698,0.07815734725588216
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,12,0.38420546676372114,0.09237745981684742
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,0,0.6364512173467987,0.15818865884918795
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,1,0.5356989682784332,0.1846981418709649
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,2,0.3819939843195158,0.09875444847396155
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,3,0.37412083228767956,0.10086785025770466
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,4,0.3979084369757021,0.11148777828724787
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,5,0.43177591647220703,0.13372208688617637
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,6,0.46790877675912923,0.14876821329422757
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,7,0.5054250450580459,0.16465391388451953
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,8,0.5419173367907539,0.1809188950836896
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,9,0.5796988924776749,0.19574700405801457
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,10,0.5951457497677248,0.2012547584524639
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,11,0.5841965916682919,0.19717951029828557
goldfish-models/arb_arab_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,12,0.6598920469652099,0.25716500354234195
