model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,0,0.46600116915144424,0.17452180602571604
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,1,0.44461852360770016,0.05326562493641151
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,2,0.42275714716267826,0.012213201126585069
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,3,0.42411581601076764,0.012557125493793153
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,4,0.42646943748004157,0.015897882702788232
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,5,0.4308171004333163,0.019452085122698366
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,6,0.43626403258393365,0.023059206120514486
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,7,0.44449612643250563,0.030923492592015912
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,8,0.4586005094888923,0.04068030042339758
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,9,0.47524751112009983,0.056597047498771355
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,10,0.49235171178149295,0.0727140415963976
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,11,0.49928586523599333,0.08272634349325404
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,12,0.6514752730536655,0.25767282634594735
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,0,0.337379627320169,0.05634575728066809
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,1,0.3488722355811313,0.06924326630398438
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,2,0.37235677830930775,0.065988098176589
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,3,0.4177791496178378,0.07047137773058464
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,4,0.4604361907201251,0.07520576038565592
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,5,0.46963980936567,0.08026503885613659
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,6,0.4784757303416154,0.08494573479039969
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,7,0.48658654824051706,0.08963620553428621
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,8,0.4769868745828717,0.09112410419375146
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,9,0.45434195686296897,0.08851858480581122
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,10,0.423371626807422,0.0833192962619926
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,11,0.3802885687090228,0.07525348336730286
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,12,0.3890140750587331,0.08933162465143506
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,0,0.5675866566757534,0.17807352348608127
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,1,0.5516540152948567,0.18062028736495883
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,2,0.47393608973046986,0.07804333393658072
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,3,0.47587966866803216,0.08144832630422391
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,4,0.49972418656381123,0.09961760895565056
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,5,0.5243442382951542,0.11799093611558115
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,6,0.5539741630449284,0.13471928921408882
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,7,0.5804770663460196,0.15583485335089137
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,8,0.614350015798001,0.17296366407782152
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,9,0.6351775995413607,0.1856993349355186
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,10,0.6398579277682511,0.1884882177082737
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,11,0.6244447814713714,0.1828200280475301
goldfish-models/arb_arab_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,12,0.6734706974006995,0.25547848435126713
