model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,0,0.4513832059089477,0.23069064143977475
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,1,0.4055047054648393,0.09913995207633641
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,2,0.3440125354518637,0.02222410414185392
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,3,0.3470117343061803,0.02019169339741987
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,4,0.35075694086496295,0.02332847086731443
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,5,0.3558411841951874,0.02526867345689795
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,6,0.3577812966509124,0.028643040645722956
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,7,0.36711422522002235,0.03531515072500626
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,8,0.38327251370643023,0.04855655113046061
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,9,0.40400369834717564,0.06973508335805793
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,10,0.42045144486217234,0.09475407474189723
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,11,0.4225600908599681,0.11300139972159942
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,12,0.581980516989656,0.25867141889225526
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,0,0.12907266785964414,0.07974725235052513
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,1,0.18911622138407774,0.09054483721058187
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,2,0.19294637310975982,0.08596517346179598
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,3,0.21518405010528352,0.08454448205567353
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,4,0.24979516826863335,0.0848922843528221
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,5,0.26626485047219517,0.08656924873250776
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,6,0.281396056839697,0.08864115870750469
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,7,0.2954938495752924,0.08862248201662261
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,8,0.30666359102138596,0.09026004665930963
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,9,0.31765116434266344,0.08903660754550323
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,10,0.310553562261833,0.0861008954744772
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,11,0.27518959360389733,0.08009914763922037
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,12,0.32305570057085103,0.0991950124603168
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,0,0.465672921601151,0.21862263834044052
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,1,0.5193088309992782,0.21194802277803965
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,2,0.41654904679607846,0.10986101155808274
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,3,0.4343394366445334,0.11137763792437774
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,4,0.4724471271626805,0.12750498602903007
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,5,0.4970751703525866,0.13485794732808162
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,6,0.5084143958595614,0.14161087199509087
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,7,0.5261992939789393,0.14781160985552258
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,8,0.5622397459995891,0.1683135270697411
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,9,0.575343532507214,0.18151963235416618
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,10,0.5717075535386831,0.188794699101835
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,11,0.5471540933055636,0.1915804801716497
goldfish-models/arb_arab_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,12,0.6016916895033917,0.23449505793551756
