model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,0,0.5876091884898477,0.19720555983297886
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,1,0.5331492912339577,0.07379910231077454
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,2,0.5071039552530282,0.015524095118733589
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,3,0.5028918081532179,0.013876070848618081
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,4,0.4963403420154286,0.015389622738229773
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,5,0.5020621286529284,0.017859894674249973
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,6,0.5075397581704117,0.023205499918672563
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,7,0.5159575417283219,0.02854850815369195
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,8,0.5225598164655453,0.03692320801754359
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,9,0.5359081021409529,0.052100833131680305
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,10,0.5537570206737098,0.07117145427366695
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,11,0.5610689233042967,0.0840969076870021
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,12,0.6613776823158808,0.25121777331658546
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,0,0.3352774931750452,0.05914279621442765
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,1,0.3873888923511536,0.08032440217128903
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,2,0.4183348322736536,0.07152241715644905
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,3,0.4392691032293695,0.07097443026277311
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,4,0.4638659853147955,0.0720761753497317
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,5,0.48323406644307376,0.07575233873134503
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,6,0.4998801415035314,0.08078916964499841
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,7,0.5030330484387098,0.08242789221029026
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,8,0.5005691454173616,0.08371377704417432
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,9,0.4819467524960896,0.08331751598411459
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,10,0.4645004347314711,0.08001983890982292
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,11,0.4361481468299594,0.07378422097701932
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,12,0.45601641131525317,0.08557052514330363
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,0,0.7374899611847677,0.14791516332145907
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,1,0.5987920535160867,0.18745823834936007
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,2,0.5306548729144761,0.08266407578027178
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,3,0.5171134480899514,0.07288190374521172
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,4,0.5139994103097792,0.08238609053699932
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,5,0.5436432444574829,0.0973136164383904
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,6,0.5853941923651548,0.12075308282086569
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,7,0.6066202441782252,0.1332089370137133
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,8,0.6295326628708099,0.15035144030381603
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,9,0.6460112976994218,0.16805008131956378
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,10,0.6552282121845663,0.18209302282824222
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,11,0.644297847703149,0.18290917829347283
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,12,0.6798826309860401,0.24250105889493812
