model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,0,0.5584953167556184,0.14883359964757945
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,1,0.691014234015021,0.055680852498485554
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,2,0.6961978190193773,0.00967705087558139
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,3,0.6948748636828784,0.008878333792381192
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,4,0.7003595663549166,0.009844429211229971
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,5,0.6991337155225334,0.011704304454230374
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,6,0.6984801195164396,0.01431240645252367
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,7,0.6966562835271839,0.01886029003465913
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,8,0.6942113575323099,0.027350051728614048
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,9,0.6901392423889056,0.03691020358702687
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,10,0.6847852759454451,0.051445977191313524
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,11,0.6718841347472071,0.06619260646580775
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,12,0.6137097079267039,0.26319970012080235
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,0,0.10733583572282031,0.05505309462713968
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,1,0.1429740311046861,0.06774398291456298
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,2,0.14380866842021,0.062117309303272174
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,3,0.1708821890352541,0.06183341030079403
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,4,0.19686248027408582,0.06497965710987225
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,5,0.22113498488451352,0.06721310996569033
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,6,0.2511068065579554,0.06896971990833084
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,7,0.2668232938484771,0.06975105886808311
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,8,0.28413863082222096,0.07047018976684717
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,9,0.2668783027160145,0.06672908162770852
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,10,0.2495228788801033,0.06234584958844814
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,11,0.2257912223027301,0.05651174023772717
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,12,0.28699897596590407,0.07288389849596871
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,0,0.6067245951284956,0.15605251122755998
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,1,0.6385949854091,0.17461899864711092
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,2,0.6591542015106081,0.0726601442390194
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,3,0.661643384479774,0.0718524445964691
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,4,0.6751833656837256,0.08122266956291721
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,5,0.6727196472957149,0.09447145142067585
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,6,0.6707178883423778,0.10454076770202311
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,7,0.6637533797356385,0.1208027953282611
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,8,0.663485097231889,0.14952757437054726
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,9,0.6520973266486799,0.16891000664283926
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,10,0.6412310804810449,0.17882206467018708
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,11,0.6207870964216025,0.18103930496207934
goldfish-models/deu_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,12,0.6438435185616259,0.2636064230007764
