model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,0,0.46188168498626725,0.12161393857642908
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,1,0.5704815408741218,0.03242113681427735
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,2,0.5726304785016674,0.008519761147142554
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,3,0.5650937166573496,0.009021059224774267
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,4,0.5651836307134975,0.011837494790438007
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,5,0.5658830417256902,0.015006352325775074
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,6,0.5712451247081912,0.01924329869897935
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,7,0.5714068322990478,0.025120185871343063
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,8,0.569745413043237,0.03439501711104793
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,9,0.5705597116515578,0.0450819059125006
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,10,0.5711475212229449,0.055726941217517145
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,11,0.5635253479326487,0.060449440259338856
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,12,0.6375014560630854,0.22481955542568408
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,0,0.29383881107852317,0.046032538194211256
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,1,0.3328928968768949,0.05969240874935855
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,2,0.3536381643675181,0.05581312385623076
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,3,0.38730842111369096,0.05853861646952172
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,4,0.42873998553392056,0.06209411780445291
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,5,0.44613582790246836,0.06514685258598674
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,6,0.4622999253067467,0.06854001884550416
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,7,0.4657811116336729,0.07074490869843876
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,8,0.46539431852397817,0.07289641969589508
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,9,0.4469888254631458,0.071693257901942
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,10,0.4119976321909956,0.06692395870582678
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,11,0.36319100916535924,0.0593703090310942
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,12,0.38265113554198354,0.07088124701180352
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,0,0.5883878904428136,0.12518344347950977
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,1,0.5882474001632231,0.1316391221785799
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,2,0.5641838807466112,0.06621147955570492
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,3,0.5444932957298295,0.07140989260099967
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,4,0.551946912654916,0.08882702783307916
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,5,0.5650920421591314,0.10473419964238755
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,6,0.5833617349435813,0.11673604935280255
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,7,0.594535398584555,0.1280386252890567
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,8,0.6055386304355538,0.14176923418433518
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,9,0.619180871839812,0.1567955974957473
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,10,0.6215511036686088,0.16068288846039072
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,11,0.6064322356836406,0.15457678831265043
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,12,0.6535129127567847,0.22480499767449832
