model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,0,0.7571644855504513,0.12881471292528265
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,1,0.8604060568891595,0.046561115496799
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,2,0.8654641166127683,0.01879661579868042
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,3,0.8609103384071879,0.018328108551061296
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,4,0.8580815025368577,0.02076641976028528
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,5,0.858788907933125,0.02389560561072413
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,6,0.8603374696691055,0.02761964030521155
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,7,0.8606971066443742,0.03372672574303371
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,8,0.8600380260730524,0.044465372830394014
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,9,0.8552394711757202,0.05410329321919602
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,10,0.8514613595594327,0.06505927037547089
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,11,0.8450815653877691,0.07252824400444509
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,12,0.809861272285869,0.23129014922506025
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,0,0.49243209478514954,0.034983921838614436
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,1,0.5307614871138634,0.04513252364950656
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,2,0.5889985634679069,0.04145268625155313
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,3,0.6271070825839834,0.04407689535595741
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,4,0.6486880684415814,0.047409048703586414
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,5,0.6522588302448221,0.05025387467847232
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,6,0.6519283605950791,0.053689676236894156
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,7,0.6452387912831747,0.057080671670648786
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,8,0.6290945019210276,0.05828867876897941
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,9,0.6066843624097781,0.05508451586732108
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,10,0.5753269111343084,0.04862966515729972
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,11,0.5324212505289526,0.04139137852129633
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,12,0.5019139148434085,0.05252821325173712
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,0,0.8194527570477792,0.11627081610757725
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,1,0.8164765547092806,0.1336065946372485
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,2,0.8450858825272071,0.060205971957288704
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,3,0.8355013634457793,0.06213144640200321
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,4,0.8286132792526723,0.07179705723410829
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,5,0.8331479719244652,0.09293607123713062
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,6,0.8379456213653048,0.11470363485121637
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,7,0.8417689666422675,0.1383268728194756
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,8,0.8397575808823176,0.15914577220169104
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,9,0.8323502579196175,0.17102595293519562
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,10,0.8263108841582721,0.1686459241420982
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,11,0.8140261719510076,0.15828822827324296
goldfish-models/eng_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,12,0.81467031243199,0.23158000668316137
