model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,0,0.6837052897445903,0.1279888112607308
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,1,0.7686599049928602,0.03471846015902265
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,2,0.7807783770074624,0.00880327846350581
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,3,0.782743394367066,0.010378896134146985
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,4,0.7809492254455533,0.013701147892469937
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,5,0.7828075110000962,0.017126274623294104
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,6,0.7846267311904824,0.022045279892285545
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,7,0.7852618410656816,0.03255416394993319
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,8,0.784518126625361,0.04604266970498346
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,9,0.7822204120917329,0.05954940528176675
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,10,0.7758354080141743,0.07166252726198119
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,11,0.7657267367145767,0.07694363858152313
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,12,0.7465367016922633,0.229713970773487
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,0,0.4872727585805301,0.03774756211808454
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,1,0.5251831113646199,0.04810125005127455
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,2,0.5654187234385666,0.0448515383319813
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,3,0.5975291940308957,0.048329329943117054
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,4,0.6231291731169869,0.05245594872075456
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,5,0.6294277008177352,0.055315726332602885
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,6,0.6328134275335036,0.05843103016917354
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,7,0.6334075867456258,0.06184371571054338
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,8,0.624958708321811,0.06257593186713997
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,9,0.601977870322895,0.05970759692170818
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,10,0.5671426527392495,0.05354529162336231
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,11,0.5193485782559697,0.044536936937757
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,12,0.5121043355380923,0.055338722674977144
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,0,0.7551493644878114,0.12652532607043182
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,1,0.7555445534157147,0.13826342775990325
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,2,0.7741555275110604,0.06702004914531003
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,3,0.7704974126095644,0.0743072491431797
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,4,0.7682995491142092,0.09111857742067024
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,5,0.7756459617270367,0.10999844639999551
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,6,0.7910107314474072,0.13594300369457343
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,7,0.8029678291220722,0.1634453478990642
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,8,0.7986977068575944,0.18160507125621023
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,9,0.7881612273892316,0.18997298014071368
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,10,0.7736247436653,0.1822908323158593
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,11,0.7538989942968557,0.1656534976769015
goldfish-models/eng_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,12,0.7634703251000748,0.2447476557953265
