model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,0,0.6090589153223048,0.16697946987673415
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,1,0.6431110120815247,0.064006854009619
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,2,0.6268826702114106,0.012360135614734698
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,3,0.6315507006910107,0.013413836636695547
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,4,0.6310035510788451,0.01775616114883298
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,5,0.6341977544669315,0.02248023985690663
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,6,0.6403752519667552,0.0279726694057519
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,7,0.6441364751683849,0.03595488883645782
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,8,0.6463132741357294,0.0521932244993421
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,9,0.65272064626723,0.06882578075431497
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,10,0.6518265826831026,0.08808759556513446
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,11,0.6479134524256195,0.09776732812031762
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,12,0.6502823744483518,0.2617487825208155
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,0,0.33783238083132394,0.05003654649537311
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,1,0.3538217881648659,0.06481444302830167
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,2,0.3860914780617431,0.06036288422489505
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,3,0.4168872062232191,0.06438053762823197
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,4,0.44131988582188647,0.069077935634476
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,5,0.4534327880139943,0.07391338474946049
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,6,0.45759499369248546,0.0767585071258697
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,7,0.45803246359023886,0.07878796526219536
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,8,0.45228600338745456,0.08236755741829221
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,9,0.43656198486077935,0.07893641113367651
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,10,0.4004967778003713,0.07201802083032631
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,11,0.36218645273070904,0.061122398698680365
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,12,0.3886998168433345,0.08709086644692823
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,0,0.6449408523337727,0.1686996425905234
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,1,0.6228136545205349,0.18996330037262651
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,2,0.6184351362414202,0.09843967564042545
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,3,0.6344265359688147,0.10397695404563664
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,4,0.6549480644048941,0.1229069144126281
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,5,0.6753600841843217,0.14162163407839867
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,6,0.7004002949834914,0.15944818976642067
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,7,0.7192515080288193,0.17594350724985988
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,8,0.7145761179916607,0.19550043269561204
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,9,0.7042041088538258,0.19764791112673485
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,10,0.6844280235806235,0.20125662593301655
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,11,0.663531824434168,0.1924576855745513
goldfish-models/eng_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,12,0.6620295513428138,0.25275828503028164
