model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,0,0.4684832196832266,0.1735618649185373
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,1,0.5299735564972581,0.05912960272264279
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,2,0.49410916126509774,0.018756200332172478
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,3,0.4968485476505685,0.019494947720086413
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,4,0.5000938529058375,0.021648533699413473
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,5,0.5046218413589363,0.02441848095840821
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,6,0.5085591253687779,0.027487078026453327
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,7,0.5103023193173637,0.03195924992664732
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,8,0.5171317450135126,0.04276461216278615
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,9,0.5212065831220427,0.054183799884218786
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,10,0.5299033754925822,0.0663999297486427
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,11,0.5355151513113183,0.07719699712741901
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,12,0.5883567734916711,0.25041243535311897
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,0,0.1181711651561364,0.06500632883855535
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,1,0.165397323670503,0.07890876299403048
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,2,0.16536590238174562,0.07279544646967735
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,3,0.18749293472564119,0.07238629384822937
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,4,0.21568327369991916,0.07422164786318994
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,5,0.23050777095324043,0.07610704338478999
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,6,0.2575495536140646,0.07951090734111267
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,7,0.2749914751373478,0.08010747081871855
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,8,0.3021077757322897,0.08110893990057333
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,9,0.2969333516326002,0.07598720969516234
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,10,0.27823980392646275,0.0695070708145318
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,11,0.23207504061123332,0.05836431336298315
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,12,0.30324731791948206,0.08107471899168579
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,0,0.5062486378183169,0.1643149876959172
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,1,0.5452947076493632,0.17449320706446644
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,2,0.4995285795290052,0.07305733460538599
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,3,0.513831072203515,0.07306728337277169
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,4,0.5288032007315878,0.09017877905801076
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,5,0.5396291762888579,0.10213521662995712
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,6,0.5510035617061643,0.11466280352233839
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,7,0.5530043034807656,0.13025635742617758
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,8,0.5772528464095271,0.15670601730339734
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,9,0.5794424285905676,0.16662578835444075
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,10,0.5888023447676457,0.17125244032597295
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,11,0.5773050636392703,0.1675615027941002
goldfish-models/eng_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,12,0.6316933870464948,0.24461158517361195
