model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,0,0.6348648692109421,0.1278636875432531
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,1,0.7152421124901523,0.03585727346700473
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,2,0.6930043427130022,0.007855495143277512
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,3,0.6949704813474272,0.007969156424492271
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,4,0.6929434700821856,0.009487312321931172
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,5,0.6903391172616872,0.012100624630536424
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,6,0.6936363188327663,0.016227249718224136
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,7,0.6938181614508726,0.020885510318838542
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,8,0.6935951601497841,0.028543797672921225
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,9,0.6896579934294033,0.03800572240492601
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,10,0.6918550454956978,0.04977068497640987
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,11,0.6943604593268579,0.05533049721230376
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,12,0.6983842126294274,0.22133776355867157
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,0,0.41076792125866696,0.04567890864987075
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,1,0.4777975367517437,0.057822979586751755
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,2,0.54132473484858,0.050691630933067396
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,3,0.5732182213117609,0.050439700545763445
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,4,0.5968249393487374,0.05259533712612801
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,5,0.6116667036445356,0.05649084051785576
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,6,0.6186761050888362,0.062133007234280925
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,7,0.6192137802146488,0.06467725684311265
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,8,0.6060702881776573,0.06581715702793133
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,9,0.588436366829356,0.06355307789788942
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,10,0.5580392366647069,0.058439180220987874
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,11,0.5173675744326596,0.04988240561219958
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,12,0.5104450951565864,0.06422815980369789
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,0,0.7443233299381581,0.1250101375814476
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,1,0.7008199496203568,0.13777914465434293
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,2,0.6640005058486784,0.05979790419499776
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,3,0.6462335243616618,0.05608083996798785
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,4,0.6406478041557357,0.06471526835465229
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,5,0.641920531361326,0.08033880870070367
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,6,0.6724283043358978,0.1065345859543909
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,7,0.6810745209597131,0.12116475737696579
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,8,0.6858867660141631,0.13885062666426973
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,9,0.6924446397000227,0.1530394426614981
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,10,0.7025371942046792,0.16411465800471933
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,11,0.6959341704410659,0.1544023342350679
goldfish-models/eng_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,12,0.7231234137150934,0.23443055949085698
