model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,0,0.7017696737786808,0.10804487336004125
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,1,0.7737816595281216,0.033281608775434394
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,2,0.7496547866674902,0.008278280704167995
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,3,0.7606544879893311,0.008057397669520561
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,4,0.7648523717373682,0.00975031375491049
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,5,0.7689900275683305,0.011807254451495603
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,6,0.7739166918185125,0.015178147072136071
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,7,0.7776276503004607,0.019628833277930274
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,8,0.777690367065141,0.027594315398460918
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,9,0.7763118695852945,0.034631483507186506
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,10,0.7770262497956703,0.040859778661374156
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,11,0.7797207783649133,0.045155378582770245
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,12,0.7819187477628571,0.20881945865224963
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,0,0.5154990188520349,0.037965143906111366
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,1,0.4910399218751773,0.06032490865865057
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,2,0.5330999916862464,0.05743790054089498
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,3,0.5645727092599984,0.061189282605536126
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,4,0.5881510432986219,0.06564595993153781
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,5,0.5931224478645987,0.07045115413221459
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,6,0.6048942481921075,0.07556673329762195
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,7,0.6053886498895423,0.07980664911260847
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,8,0.5986603136539576,0.08206052293041632
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,9,0.5799334491504032,0.07856275888115502
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,10,0.5483834481458804,0.07152561648467844
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,11,0.5093606068629404,0.06070641529656081
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,12,0.5133470067150165,0.06912237940396715
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,0,0.7771533607708748,0.10828667737119266
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,1,0.7619506182652523,0.12701869001060706
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,2,0.7357800177599109,0.05537306319726079
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,3,0.7486691112294825,0.056503815524364356
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,4,0.7581864294349101,0.06599192144223834
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,5,0.7631780255599909,0.07647994861775652
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,6,0.781590253915572,0.10107364574351246
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,7,0.7925660856829786,0.12218653906523172
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,8,0.7956732052003533,0.14547139876286036
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,9,0.7948193891284366,0.14880088022520438
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,10,0.7953189303033509,0.14654345641808877
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,11,0.792036904995225,0.13560018185787487
goldfish-models/eng_latn_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,12,0.8097814878927242,0.21255891760073226
