model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,0,0.5685313871935179,0.1406193182929371
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,1,0.6529906022797218,0.03799772608349094
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,2,0.6300008481801692,0.008427511835946403
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,3,0.6238946893473645,0.008021493274656663
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,4,0.623169218239426,0.00852030138291412
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,5,0.6262848059350583,0.009513199586163704
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,6,0.6315573687991223,0.01170554422762651
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,7,0.6324197805760617,0.016132719616260664
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,8,0.6360128303876117,0.024933364410485208
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,9,0.6304359603826271,0.035683408720112594
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,10,0.6264869763921863,0.04726548745508819
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,11,0.609529608280304,0.05477144033213477
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,mean_pool,12,0.44673371002477386,0.17053780187093695
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,0,0.09432686367347441,0.040363919736911676
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,1,0.12591800567289516,0.051658950928906745
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,2,0.12736730427687307,0.04536315642904977
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,3,0.15323946278390452,0.044609142568082606
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,4,0.1838887118310635,0.045812144023789025
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,5,0.1974673612816605,0.04732179692908292
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,6,0.22336120137529175,0.04904028040395756
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,7,0.2430302752556999,0.050019696278611914
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,8,0.2617234448292521,0.0512215411151453
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,9,0.23844089439155652,0.046707282386518716
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,10,0.2022433445859905,0.039472434112608715
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,11,0.15282253447340433,0.03033313664982967
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,token_aligned,12,0.16707168210174128,0.03544351922074769
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,0,0.6808888840568614,0.1345348106893185
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,1,0.6457584380597939,0.15708055174218089
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,2,0.6207318800414805,0.06820151432016536
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,3,0.6223451249119956,0.06654692965022775
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,4,0.6211949257663352,0.07087625812425648
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,5,0.6191553852809852,0.07335953493957871
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,6,0.6237233534420649,0.08443257522205015
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,7,0.6364254099115972,0.10477023595653387
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,8,0.6465729968455474,0.1366291084440155
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,9,0.6075493322359355,0.1538181282010491
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,10,0.5460506122869799,0.1516187819096844
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,11,0.46975369428378716,0.1344989039243196
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_1000mb,tatoeba,sgpt,12,0.43034773293978,0.1722984457767951
