model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,0,0.5081155665097525,0.15731190303535264
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,1,0.5219580244636791,0.05002582826889498
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,2,0.5028016503134278,0.009270239305610927
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,3,0.507034708624262,0.009107150765017481
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,4,0.5071622385989405,0.01125764610265027
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,5,0.5084384163898472,0.013070526722697942
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,6,0.5117778443476534,0.015942533991632576
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,7,0.509348072933875,0.02180131249403407
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,8,0.5093533841606187,0.03014594845041966
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,9,0.5049619567622781,0.042198357951726786
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,10,0.4983958058169123,0.055957250748498166
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,11,0.4906472391492432,0.06864729466493907
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,12,0.532223121089217,0.24622538110593636
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,0,0.12418256168562881,0.06057995675562635
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,1,0.14274305882495003,0.06815864912219967
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,2,0.1460018450151418,0.062262280720523804
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,3,0.17289400176563663,0.06297934419773973
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,4,0.19925971547154403,0.0648644131765904
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,5,0.2101574154092542,0.06662250396131611
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,6,0.22606766036223458,0.06860015323615495
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,7,0.25520569900894746,0.06943638820653408
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,8,0.26856143748782224,0.06885108613123203
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,9,0.25537886890529865,0.0636606248900533
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,10,0.2359841471709623,0.058010578515537176
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,11,0.20095312589187034,0.04899822913859318
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,12,0.26373865189250756,0.0714677585683948
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,0,0.5638760254663621,0.1682611526579135
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,1,0.5623290043206414,0.1781835536432152
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,2,0.5216740030526846,0.0728823994621622
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,3,0.5213482841509576,0.07799319467758856
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,4,0.5251511040902094,0.09462292036951944
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,5,0.5265939318904777,0.10383883380087362
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,6,0.5415272544612953,0.11644351115373111
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,7,0.5294947983233036,0.13254448082583137
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,8,0.5519314077885479,0.15740285174605015
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,9,0.5618910497146455,0.1741906066605166
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,10,0.5563867685815278,0.1774964371309417
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,11,0.5431621685980549,0.1799295411738731
goldfish-models/fra_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,12,0.5966641181338415,0.2574948545560025
