model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,0,0.6032240853624918,0.1552651307156748
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,1,0.5323086422176783,0.05787636119824975
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,2,0.508670019090981,0.019330999307263556
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,3,0.5135065904907983,0.01930472732682534
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,4,0.506089321291928,0.021346012870512958
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,5,0.5105288029898017,0.024780625099290146
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,6,0.5118517084694802,0.029442052244423044
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,7,0.5111603722062377,0.03776396533874801
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,8,0.5134369494995655,0.04561038888309978
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,9,0.5151994494503097,0.05617778039801518
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,10,0.5275069485447371,0.06998040080946227
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,11,0.5336190109539029,0.0794732639476286
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,12,0.6652468855817554,0.20591427471479248
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,0,0.43532982895954175,0.04559233506817916
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,1,0.5207213630129539,0.048377456933498694
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,2,0.5724028066048387,0.040724299838381925
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,3,0.6032498726823277,0.04028086935152984
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,4,0.6162710644358731,0.042322540029395644
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,5,0.6268707937780438,0.04585972086853014
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,6,0.6261757593765287,0.050127822615404896
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,7,0.6268643666440393,0.05242332030123242
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,8,0.6199328904774395,0.05143307986331834
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,9,0.5976375780519034,0.04915947357523824
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,10,0.5666620325602953,0.046143956169551435
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,11,0.5340936501411241,0.04101988337912887
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,12,0.5249369377161137,0.0535239638428216
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,0,0.6703752479001299,0.1548836084623036
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,1,0.6040935148435909,0.1662415238261108
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,2,0.5185718137173266,0.06798314323327131
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,3,0.4991873984103938,0.06369776634803441
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,4,0.49004911668368534,0.07379929719994734
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,5,0.5222960803061647,0.09271126278437299
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,6,0.57415070198949,0.1235351612425559
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,7,0.5966177863883844,0.14134149944887223
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,8,0.6267639399410496,0.15535334016088073
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,9,0.6410852605251847,0.1698667306398442
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,10,0.6480328786715357,0.17558626751473258
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,11,0.6353684253301138,0.17291465185572957
goldfish-models/fra_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,12,0.7047144859647034,0.233304814965713
