model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,0,0.8031385039134469,0.40348875286133024
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,1,0.8041517092702849,0.23458980347453975
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,2,0.7803354172157722,0.08186454109508699
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,3,0.7795436710439474,0.08717327869862726
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,4,0.7754809917765165,0.09749010955347479
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,5,0.7815577637223486,0.11478121037758394
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,6,0.7878813198386777,0.12795342203873247
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,7,0.7852174020088409,0.1485757227625012
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,8,0.791405962362538,0.1899198599106818
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,9,0.793489069614495,0.22175215246909574
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,10,0.8001865423358117,0.2682397591721316
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,11,0.8028171479954631,0.2930635820394386
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,12,0.8426147840429081,0.5828544101002774
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,0,0.4617537002948787,0.15198854480376645
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,1,0.4716310627644112,0.18175362224634334
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,2,0.4996776887646036,0.17554500754301677
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,3,0.5350074312901395,0.18553572227304116
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,4,0.5600037800147567,0.19913061784369648
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,5,0.5738868324481349,0.20955031704512225
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,6,0.5817667416136272,0.21672023366425053
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,7,0.5758421118081012,0.21646971652088817
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,8,0.5751195407265984,0.2147424270656771
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,9,0.5560228470609115,0.2013981724082109
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,10,0.5239649829436831,0.18016924963728806
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,11,0.48902440830801175,0.1586960297470015
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,12,0.554701520850688,0.20376629979434574
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,0,0.8193619991632624,0.4213342114630827
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,1,0.8106009653240756,0.47103750177326204
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,2,0.7962987403561684,0.28461942594518347
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,3,0.8040069369686343,0.29269107409843903
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,4,0.8029353166199458,0.32770981620830963
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,5,0.823666435019973,0.3862454760585896
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,6,0.8381374995833005,0.4163012156664724
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,7,0.8351907070887702,0.43648266266648617
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,8,0.8388084366851618,0.4809244942238362
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,9,0.8332805202160125,0.4922756679137153
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,10,0.8311357423562,0.4976085634053346
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,11,0.8249268283215545,0.4852644692245649
goldfish-models/hin_deva_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,12,0.8454042263142646,0.5657729557142559
