model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,0,0.7598289842326091,0.37920196804875483
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,1,0.6515532790640163,0.26042149290390926
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,2,0.5202119821915988,0.07737041283978752
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,3,0.5356444493013305,0.0815571533456364
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,4,0.5526399484053243,0.10084115418063656
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,5,0.575040406851977,0.11845284375646602
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,6,0.589690896608542,0.13772889555372564
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,7,0.6270515715108872,0.17261512285999966
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,8,0.6471065258237777,0.21146270900808564
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,9,0.6811796983601824,0.2484258671797512
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,10,0.6961883490128601,0.2770004393230085
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,11,0.6991189303410354,0.2896492126876853
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,12,0.8275512499886059,0.4631985422775544
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,0,0.46018401277369525,0.1481757083411166
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,1,0.5239289027901245,0.15051365132523814
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,2,0.5349880857458995,0.13818564728806923
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,3,0.5729623311188132,0.14211447885881054
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,4,0.6072976581308948,0.14664304836914469
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,5,0.6211722646657017,0.1541256374122723
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,6,0.6243550092802486,0.15828086986182088
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,7,0.6299505809968882,0.16175148390793437
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,8,0.6281135190752842,0.1644882809511103
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,9,0.6079013583456735,0.1558774995698035
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,10,0.5692330762390376,0.1506643756192992
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,11,0.527906370510223,0.13950353618452419
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,12,0.560614883349515,0.18955277208428867
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,0,0.7474560650827011,0.4019056217680606
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,1,0.7474716091833982,0.476117714942956
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,2,0.6937252029834353,0.37241038694941164
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,3,0.7247306964896667,0.3997490475537377
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,4,0.7512946778631953,0.4132186274332632
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,5,0.7804909689906707,0.43653871609239203
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,6,0.7982738080138027,0.4566745413054924
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,7,0.8310866152058812,0.4748453741365547
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,8,0.8251370189386313,0.4726314530027388
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,9,0.8262387362555457,0.4604049427581969
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,10,0.8170584316802602,0.4523404050161434
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,11,0.8044954007254979,0.44583589792511447
goldfish-models/hin_deva_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,12,0.8319743955435221,0.5063101569148837
