model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,0,0.6502685784513963,0.2639436830166749
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,1,0.5677090899447259,0.14071952858774775
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,2,0.4925036022897106,0.032417166517715666
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,3,0.4977689490621261,0.03282126701898501
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,4,0.5071048054570602,0.03822081255674537
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,5,0.5108717899265854,0.04087125561715104
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,6,0.5140604916391928,0.04567274549219383
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,7,0.5217208548775091,0.052241586805888605
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,8,0.5405264817422134,0.06986906681411076
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,9,0.5671399492096588,0.08843250805944299
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,10,0.581194611478819,0.11618986786114326
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,11,0.5788411122367357,0.13484307273754617
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,12,0.7412961822036127,0.33313662403607297
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,0,0.14030583063960286,0.08395351096499665
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,1,0.18820112675997527,0.09406297526195415
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,2,0.19395857952892576,0.09015940255326384
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,3,0.2424090909149159,0.09207173849295462
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,4,0.28816981746790665,0.09366652489633677
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,5,0.3223015727259201,0.09623565408158057
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,6,0.33468552576268595,0.0979784483704766
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,7,0.3477115379122128,0.09582114804915891
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,8,0.366246659055197,0.09703389442589169
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,9,0.354733190610874,0.09051360102543302
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,10,0.3422042756409468,0.08487297876040087
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,11,0.3082186603794305,0.07607767867723496
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,12,0.415530197092793,0.10239899297244599
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,0,0.6831867155163092,0.2277130343547101
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,1,0.659232676980553,0.2527401643148715
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,2,0.5949467626397663,0.11455664103750282
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,3,0.6285023959711264,0.12175427350905699
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,4,0.6601779694146515,0.1465033267307027
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,5,0.6752933690735289,0.16215258101849792
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,6,0.6796054386060566,0.1735040770264293
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,7,0.6932217958288465,0.18974266861777392
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,8,0.7172901474689274,0.2208538043661636
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,9,0.7192494589353144,0.23513762476802066
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,10,0.7094060785394565,0.25079662640672007
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,11,0.6829841151995248,0.2538263523167256
goldfish-models/hin_deva_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,12,0.7498512636147706,0.31910207919073996
