model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,0,0.8140685615314159,0.6676070078680336
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,1,0.7032221608156315,0.47720283708353367
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,2,0.4960438408635499,0.17422199029293853
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,3,0.49755613581987596,0.16711388848545936
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,4,0.5089756298313005,0.18374371656751418
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,5,0.5411915369823994,0.21477495355188883
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,6,0.5866230316613813,0.267623899305379
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,7,0.6230455841402871,0.30766274100919366
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,8,0.6552766573075195,0.36806371938369137
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,9,0.7118911258904199,0.44579148566158355
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,10,0.7481107081607243,0.4986435289164161
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,11,0.7516901433251375,0.5275447000488728
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,12,0.8603418842438495,0.6563972086505656
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,0,0.4961194515108875,0.22268273747969664
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,1,0.5259178417525757,0.23628134367864037
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,2,0.5566379786015723,0.21887206216339825
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,3,0.5846486982388572,0.2225718828903821
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,4,0.61288955519048,0.23175173501992882
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,5,0.6287270591625627,0.2490257495829662
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,6,0.6409918070753802,0.2637797559978507
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,7,0.6407249723986779,0.2651948903803406
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,8,0.6301403761342335,0.2639775107736659
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,9,0.6122570854334004,0.2503434791954732
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,10,0.5733082575484953,0.23445447021121893
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,11,0.5254998197304126,0.2114798200713694
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,12,0.5771084743279173,0.2662539258892264
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,0,0.8065808198428842,0.5966673251239186
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,1,0.7733054422871105,0.6488915688086428
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,2,0.719079984772743,0.5318028934459788
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,3,0.7180795894340122,0.5150765363726897
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,4,0.7392160610408613,0.5358253138853905
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,5,0.7910163512067799,0.5740326875471385
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,6,0.8423520616184924,0.6129138784482995
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,7,0.8577027832370444,0.6149391055587933
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,8,0.8535527661493808,0.5972995798026279
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,9,0.8511886381327286,0.6056786883435265
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,10,0.8434558961184329,0.6035563767535049
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,11,0.820390179077555,0.5909588542514724
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,12,0.8531373479469998,0.6326195020207772
