model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,0,0.5993644168424994,0.15597345684884287
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,1,0.4939226580105698,0.07496212108572603
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,2,0.45041677637236466,0.02526248367330405
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,3,0.45770065361552,0.023059487994485494
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,4,0.46163741357247806,0.024646208104971146
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,5,0.4676292774700958,0.02602741320097342
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,6,0.475152833242926,0.030083934322978043
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,7,0.4818566099705144,0.03502407748883395
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,8,0.4941814099165243,0.04402657879368085
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,9,0.5083991502317503,0.05535475501118031
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,10,0.5276071966756692,0.07021363506954602
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,11,0.5377245065640397,0.08351515494257515
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,12,0.6799449582323596,0.23925080630358425
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,0,0.37015094517627567,0.0617740860706341
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,1,0.41783268726688616,0.08638373053629061
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,2,0.44807749734071034,0.08145497962162108
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,3,0.48140073591205823,0.08327672236296688
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,4,0.5176892934397934,0.08663049430405856
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,5,0.5324056040412072,0.09130074308177286
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,6,0.5375235107925317,0.09676148492949317
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,7,0.5418157838436064,0.10123478148264071
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,8,0.5354360286715096,0.10534852118761986
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,9,0.5253681558685678,0.10525520869209265
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,10,0.5022013367658577,0.1024864393916922
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,11,0.47212895729592175,0.09579017526019709
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,12,0.46888064060956136,0.1052982672247491
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,0,0.7288491573572466,0.13995153960718304
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,1,0.6099054078501799,0.16792004378956155
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,2,0.5005617036219819,0.07781178238478134
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,3,0.5113310846398905,0.07660305642598966
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,4,0.5390131748739642,0.08922215091232343
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,5,0.5577779350642192,0.09734355141006115
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,6,0.5856480882728785,0.11731103672752456
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,7,0.6073233650488643,0.12945387013967277
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,8,0.6310406475783472,0.15181302457068754
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,9,0.6443888636836683,0.16406374373307828
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,10,0.6492051227115987,0.1724271906108292
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,11,0.6365040535977254,0.17552765813519872
goldfish-models/spa_latn_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,12,0.6870765169847184,0.23778183160423705
