model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,0,0.6538478250690498,0.1408553515926649
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,1,0.6916095821967991,0.06820840673083553
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,2,0.683870740468566,0.01311769811242794
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,3,0.6937492357651764,0.011683125702836463
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,4,0.7007777397335117,0.013763184744433029
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,5,0.7033111482897759,0.01682454486660071
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,6,0.7015779631541654,0.02334336108280182
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,7,0.7034080769270635,0.03168438958752543
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,8,0.711603896610717,0.04482762174166207
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,9,0.7157402821143515,0.05571900593765968
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,10,0.7178958253333196,0.06977435561896263
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,11,0.7146533255688402,0.08438608926825115
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,12,0.7411977872969452,0.24364667737502416
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,0,0.42999213255596713,0.040213892353454905
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,1,0.4533794732423703,0.05496971766278458
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,2,0.493155499622552,0.051133174005846244
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,3,0.5275688185359508,0.05366096821497245
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,4,0.5473569363504532,0.05729957791496946
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,5,0.5497420660509014,0.06093836703673714
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,6,0.5543739782411868,0.06526495142392327
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,7,0.5468515037681697,0.06886186622098207
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,8,0.5330849985081126,0.07017289653069395
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,9,0.50883612991302,0.06617193251983952
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,10,0.47356904022913704,0.061024572828235306
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,11,0.43091620244493206,0.0539328598164676
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,12,0.4319129194102652,0.06477084202121951
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,0,0.7227057271068347,0.15995185308325496
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,1,0.6957019124240142,0.19533455165737157
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,2,0.6838726259798974,0.09539062906709733
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,3,0.7011765084360897,0.08943947189845057
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,4,0.7189064712681448,0.09828017395440337
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,5,0.7199562584114625,0.11435231659062017
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,6,0.7365207146482992,0.14400813365994716
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,7,0.7501625591061134,0.1708056283601574
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,8,0.7645386048245425,0.19116888852412053
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,9,0.767550242433687,0.19416085253625676
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,10,0.7665184858999332,0.19055134541115268
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,11,0.7468349340940963,0.18654274580313468
goldfish-models/spa_latn_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,12,0.7599985389833309,0.24204415098157384
