model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,0,0.6943596655429944,0.138221605244059
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,1,0.6921667878265619,0.05075611142909763
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,2,0.6827119647252815,0.017428820199666416
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,3,0.6930801139755844,0.0196327692927312
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,4,0.6975735922768801,0.022029091858522445
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,5,0.7045245633549386,0.023889392045070314
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,6,0.70639986455605,0.02906513423651239
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,7,0.7109709239456496,0.03858153286449552
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,8,0.7167259653391801,0.04999157933523922
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,9,0.7149801131996473,0.061904217210371155
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,10,0.7128406066593598,0.07442544676503877
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,11,0.7126180090296234,0.08488221021464366
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,12,0.7248231796359093,0.23268670968805344
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,0,0.5282179539261268,0.03851200362788328
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,1,0.4916819163605946,0.05400202045381512
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,2,0.5283227840259468,0.05149737358281215
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,3,0.5613811923490185,0.05589420563737482
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,4,0.5805985329512595,0.060623077549495634
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,5,0.5875460059061882,0.06510386755167982
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,6,0.5945511231557473,0.06974851777692147
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,7,0.6020192990119502,0.0737974487164971
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,8,0.5977434942163908,0.07475256509458854
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,9,0.5831576576649438,0.0702351994424912
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,10,0.5601574452704352,0.06403539489870207
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,11,0.5295471257093786,0.05512750315777572
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,12,0.5383557886062422,0.06468135431839414
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,0,0.7364047492743728,0.1422078331366154
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,1,0.7202659474574007,0.1526524715790068
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,2,0.6742297772721001,0.06471635019849546
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,3,0.6785965447211189,0.06857939866546087
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,4,0.6859786774820718,0.08226396896626545
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,5,0.6980309932393733,0.09308249566593295
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,6,0.7260293534165833,0.12154170945243328
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,7,0.7403034182590059,0.14670439986009923
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,8,0.7522024983987611,0.1654665257564362
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,9,0.754981618005721,0.1700895951020648
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,10,0.7515483033239221,0.16867131265893764
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,11,0.7412264529415237,0.16116059377738032
goldfish-models/spa_latn_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,12,0.7615704833490301,0.23411695832573032
