model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,0,0.8102769080885793,0.5189825259503518
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,1,0.7751319980834577,0.36374161804049104
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,2,0.687050058590841,0.11575613363540388
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,3,0.6960989906811645,0.11619890198468381
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,4,0.7054543820112442,0.1388509769792372
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,5,0.7103537128534853,0.1521912512867028
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,6,0.7179084137961802,0.1816976637624267
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,7,0.7277368690612624,0.217164243298269
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,8,0.7474178576870422,0.2736053760049777
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,9,0.7599184795468836,0.3294346178686086
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,10,0.7628793089509246,0.3787111935599013
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,11,0.7706413471519992,0.4085168653249016
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,12,0.8517354742910389,0.6134912901832816
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,0,0.4491507960485499,0.25012872146986265
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,1,0.4843775393975228,0.26090797754836104
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,2,0.5186911572150751,0.2554154373207369
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,3,0.552944304716926,0.26439047654707387
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,4,0.5759992651988772,0.2722656382485975
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,5,0.5809908022892989,0.283602952552193
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,6,0.5909744360261941,0.290755722847285
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,7,0.5993402638178381,0.2923047406255674
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,8,0.6052845677193794,0.2964946937523435
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,9,0.59379951285051,0.2867985931721464
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,10,0.5704862640413829,0.2714163679905543
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,11,0.5333736652239766,0.2515886644623636
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,12,0.6076844316694375,0.2773096654347561
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,0,0.809443762666989,0.4414228648585478
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,1,0.8326115100591241,0.6077318976830215
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,2,0.797027952397161,0.4548038995820478
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,3,0.810266491750911,0.44021365187007216
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,4,0.8179009201829023,0.4620076855362506
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,5,0.8132250273259094,0.4746185155206153
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,6,0.8345058421465922,0.5135994941627435
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,7,0.8339280438426697,0.5361158549331944
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,8,0.8486600765014826,0.5789352425457869
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,9,0.8472977226944491,0.5931749286252556
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,10,0.840731914996117,0.5999739667788172
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,11,0.8391720141302794,0.5951999737493595
goldfish-models/spa_latn_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,12,0.8652109712909247,0.6457328177951828
