model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,0,0.5539252356537634,0.16456312700686057
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,1,0.6516045953399855,0.05862154448360295
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,2,0.6481910560020505,0.012655673982171456
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,3,0.651159763195135,0.011661498277974709
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,4,0.6508421171785423,0.012636063896666857
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,5,0.6521558208939257,0.013475929394879705
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,6,0.6534638839984775,0.016111537695304403
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,7,0.6540367377230829,0.02006283070873902
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,8,0.6557775041010739,0.027327608051216045
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,9,0.6594532058812768,0.03667776757592766
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,10,0.6638249202350842,0.050287070321828234
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,11,0.6593076296307101,0.06485763011977153
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,12,0.6154193204608498,0.26935324888326373
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,0,0.11090402744575578,0.06506231028494164
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,1,0.1617518759488916,0.0820996126677224
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,2,0.16868204678226992,0.07578811530569211
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,3,0.18673331369282428,0.0746163982492195
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,4,0.21243764945167654,0.07696966195854121
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,5,0.22684534192028485,0.07932133374778597
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,6,0.25688393747196664,0.08340171963740436
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,7,0.2716472651538743,0.08392775782340865
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,8,0.2883063702644847,0.08578913425017848
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,9,0.2850954259147755,0.08007163972625053
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,10,0.2738593146609727,0.07475498861226916
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,11,0.24790467806448827,0.065255509800008
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,12,0.2980915748015704,0.08582942259466278
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,0,0.581365715555091,0.1620268905777796
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,1,0.6178002911802584,0.1814191691435839
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,2,0.6175143925983447,0.07045732243662933
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,3,0.6251056895652365,0.06794544741511727
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,4,0.6330265839340363,0.08095886222955265
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,5,0.6406027821675844,0.08367739069686127
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,6,0.6435823883276985,0.10074896205770131
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,7,0.6421266093366066,0.11961846360194132
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,8,0.6547295128941023,0.14931263285906363
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,9,0.6551713296907173,0.15909698490554763
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,10,0.655050577931654,0.16970400344850595
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,11,0.6355780080514655,0.16840437629723265
goldfish-models/spa_latn_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,12,0.6462576581560667,0.26200968830241367
