model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,0,0.6582678384447855,0.12807253817149347
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,1,0.6764369345591414,0.05142007242796967
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,2,0.6644229806282522,0.010148740095156513
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,3,0.6699982759394668,0.00855589067333312
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,4,0.6698155763189922,0.009395675724696873
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,5,0.6695506253727971,0.011277430532705917
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,6,0.6739865179759928,0.016364166061839935
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,7,0.6758942831022564,0.021446891828781598
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,8,0.6826321407711311,0.027635682022504965
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,9,0.6869582011658416,0.03702648275766811
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,10,0.6918966744222241,0.050635332959357945
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,11,0.6938663161922248,0.06281316548298398
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,12,0.6999293711512532,0.23413271283544185
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,0,0.4141685657875479,0.05329132063258131
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,1,0.4647873260444327,0.07088817148727934
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,2,0.5017524432886666,0.06401558675960285
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,3,0.5173901894882362,0.06385819440968592
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,4,0.535197361945322,0.06666291351778617
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,5,0.5467179025667175,0.07190663415126103
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,6,0.5573155382027803,0.07988666510215911
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,7,0.5587216838616665,0.08382583924180437
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,8,0.5482342413792561,0.08530949914936113
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,9,0.5292333623866438,0.08280540498485499
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,10,0.5045410708932646,0.07954325226718678
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,11,0.4700656932370188,0.07033960776791712
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,12,0.4839623709929258,0.08392417539052532
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,0,0.7492529529227692,0.1243732915124664
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,1,0.6861643011570348,0.1598213598024424
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,2,0.6563691859618618,0.05812280808379591
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,3,0.6571817644324639,0.048477685367805876
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,4,0.6613963368576881,0.05386266440744534
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,5,0.6688495848962357,0.06514204651682085
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,6,0.6968446665805378,0.09670524865090782
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,7,0.7075777363755007,0.11612750149645741
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,8,0.7251410041657806,0.13788769086236677
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,9,0.7380936826506546,0.15464775696722008
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,10,0.739365114711132,0.1686719397404159
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,11,0.7265814523499757,0.16869605369973445
goldfish-models/spa_latn_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,12,0.7403412428912973,0.23965186299134542
