model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,0,0.46022241450896856,0.21102474972154586
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,1,0.4487689719128924,0.07505305921166337
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,2,0.43304638954406494,0.031054827240589885
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,3,0.43530379967930083,0.030267456496718137
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,4,0.42823527582933835,0.030271706976512835
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,5,0.430245717220424,0.03100040587748872
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,6,0.4322357339064583,0.03249072704566258
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,7,0.4374436011475484,0.036765767930384774
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,8,0.44140755406167625,0.04528136434988527
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,9,0.4455071137933125,0.06019849913291528
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,10,0.44972055402110905,0.07665033835202051
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,11,0.4417690797567154,0.09055375512166862
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,mean_pool,12,0.5128236938218762,0.3094572011030716
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,0,0.19396783026086642,0.11654726755231816
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,1,0.26505133204408565,0.1329141173868219
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,2,0.2653965778622528,0.12306341625481061
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,3,0.2896697815033207,0.12326023935768952
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,4,0.3197988913900361,0.12764885006796056
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,5,0.33463531112358835,0.13270463815822708
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,6,0.35006884318645404,0.13853459333812143
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,7,0.37418577565966793,0.13958186219937524
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,8,0.3865560036316765,0.14080202401661576
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,9,0.3883669537259086,0.13570709262371713
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,10,0.3656424953752888,0.12505523453692674
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,11,0.32370607917610095,0.11106490781641316
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,token_aligned,12,0.32704998950220815,0.11556600338376707
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,0,0.5311171909965565,0.2570683118399225
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,1,0.5468902876146646,0.25817630716599965
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,2,0.4855292143961682,0.1541281373614969
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,3,0.4951094704088342,0.15038884457104276
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,4,0.48617571524581793,0.1530289606331598
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,5,0.4911657078051003,0.1541227117021397
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,6,0.5002473971307224,0.16444781466298297
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,7,0.5225918335270004,0.18596466238926734
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,8,0.5463540265968179,0.22160399754998178
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,9,0.5525298283124295,0.25347307811149206
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,10,0.5337268724665195,0.26687161547652094
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,11,0.49089678538231685,0.2579683656177478
goldfish-models/zho_hans_1000mb,goldfish-models/arb_arab_1000mb,tatoeba,sgpt,12,0.5223978025997272,0.3309596730320227
