model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,0,0.6330035917958031,0.19657429868828136
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,1,0.659780806693832,0.08181705276215533
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,2,0.6452551857511979,0.024207100734394044
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,3,0.6464084473308234,0.023062019650456924
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,4,0.6487936543843363,0.02357041270956367
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,5,0.6479163486096801,0.02557474974434972
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,6,0.649867625514278,0.028487617281910856
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,7,0.6477052728568627,0.03589487381676022
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,8,0.6486699017326397,0.04532471023439848
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,9,0.6511869939588775,0.05772999733514258
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,10,0.6518137412550948,0.07337887990358927
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,11,0.6472434683245991,0.08744502302877272
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,mean_pool,12,0.6290084719966396,0.25825044989997903
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,0,0.11097311667727769,0.056581288571931294
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,1,0.1516725650613028,0.06270319122838479
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,2,0.1444961855816461,0.05501538616169484
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,3,0.16376505310773287,0.053878456145780886
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,4,0.18909002802895944,0.05525314683457874
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,5,0.2133511282893655,0.056845350316900835
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,6,0.23542573077459936,0.060429393758344864
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,7,0.2578974146898353,0.06227748204986957
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,8,0.2738548040828424,0.06276758923356322
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,9,0.25341888845983246,0.05999170452217024
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,10,0.23613378711919944,0.05511299202176127
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,11,0.21133194069557698,0.05032909201252416
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,token_aligned,12,0.24632769273174784,0.06268624409027608
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,0,0.6824375857619728,0.195050175785193
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,1,0.6676905006451377,0.20217913273361537
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,2,0.6341390108519903,0.09573169089294949
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,3,0.6430585460444205,0.08593443616751678
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,4,0.6500719860674383,0.08495247673746813
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,5,0.6429717964765533,0.09090219527533328
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,6,0.639793382128295,0.10122951114448087
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,7,0.6493251602607858,0.1252982143547133
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,8,0.6679600101941008,0.15605446459843655
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,9,0.6772576252516794,0.1772595703926417
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,10,0.6721412914070525,0.1820984368393202
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,11,0.6475568170975358,0.17756141171784473
goldfish-models/zho_hans_1000mb,goldfish-models/deu_latn_1000mb,tatoeba,sgpt,12,0.6446198404867038,0.23697113874983652
