model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,0,0.6099551362098409,0.14279186896911583
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,1,0.6253122059383095,0.049250975090649955
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,2,0.6181244485453266,0.023174331681649136
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,3,0.6195378557861022,0.023446379708264246
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,4,0.6160307040648928,0.02533512055372391
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,5,0.618842093367687,0.02631355256913608
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,6,0.6205814604351594,0.027888484467944532
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,7,0.6217917079658045,0.032566832073206785
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,8,0.6215430619378501,0.039067125554276404
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,9,0.6192602033964656,0.04957802513000003
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,10,0.6141440708464257,0.0598134648744398
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,11,0.6107767398795662,0.06841816269558793
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,mean_pool,12,0.5707508829238325,0.21027259000663368
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,0,0.10792584991948409,0.04211419139986868
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,1,0.1297578985308652,0.04475272497817337
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,2,0.13868696593345672,0.0395044354750255
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,3,0.16387823004268692,0.04089347395352798
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,4,0.19206258966089637,0.04350714705074044
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,5,0.19874861519308304,0.04530786259749471
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,6,0.21352294782819883,0.04679737229517717
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,7,0.24605638354643294,0.049316331451993364
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,8,0.25851426210278294,0.049781245951359236
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,9,0.2526050216103962,0.04616182060350132
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,10,0.2348140203400946,0.041881599028699694
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,11,0.2020558319641189,0.035682618844317546
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,token_aligned,12,0.22187454336581425,0.044411811882465645
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,0,0.6655496672187708,0.1361761196155924
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,1,0.6481334264282474,0.13836868676881706
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,2,0.6322901908527665,0.06342283079085947
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,3,0.6195717432950464,0.06776796255571006
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,4,0.607694093573252,0.07507954681332078
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,5,0.6029353151883784,0.07479095055969767
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,6,0.6061992880735575,0.08285260838294725
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,7,0.6062088811389035,0.10429685817276371
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,8,0.6147872447915039,0.13194391129695357
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,9,0.6248994576417478,0.1521929938091036
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,10,0.6151789756525873,0.1584847780450632
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,11,0.5925682322706965,0.15118987848526738
goldfish-models/zho_hans_1000mb,goldfish-models/fra_latn_1000mb,tatoeba,sgpt,12,0.5891245628727669,0.2156881934343065
