model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,0,0.5963014222748407,0.1778064582688683
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,1,0.6435938507430409,0.06424917366286233
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,2,0.6372816030680636,0.012698166603671355
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,3,0.63235456437782,0.012667544076413793
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,4,0.6354836940612368,0.013631872562834423
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,5,0.637736411257669,0.015267569774032477
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,6,0.6362208136501847,0.01735216108674506
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,7,0.6397333436288364,0.022151110240295528
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,8,0.6391145858239584,0.032424137535824425
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,9,0.6377277725490127,0.04620855170269884
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,10,0.6275646976623289,0.06172783045265781
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,11,0.6072472133939352,0.07191593337757923
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,mean_pool,12,0.49603237583156473,0.20228690273251881
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,0,0.10441595786755012,0.04736546753519298
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,1,0.14084013148366917,0.05978157589233837
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,2,0.14363595260938178,0.054454266892745844
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,3,0.17295586093079024,0.054510976045509106
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,4,0.20472470191694017,0.05519042616882104
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,5,0.2246667809297225,0.05759883340902552
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,6,0.24212852700314624,0.05938275683583838
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,7,0.2481574089629227,0.058798046260944425
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,8,0.25886886472984505,0.05924807666266488
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,9,0.24713555946373172,0.05439673476239481
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,10,0.22651144586267727,0.04799414246012615
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,11,0.18804531983240733,0.03987650200550443
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,token_aligned,12,0.23305709468526825,0.052214865229075424
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,0,0.6414864257227131,0.16389392877072417
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,1,0.6378106311366166,0.19817036180512368
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,2,0.6414677113355387,0.1046604974968556
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,3,0.6344423590353427,0.10845217303839892
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,4,0.6363419067361052,0.11193207387593913
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,5,0.6204924729506255,0.11146548108137923
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,6,0.6151221785577636,0.11476830504116284
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,7,0.6429916861680625,0.13077713187975837
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,8,0.6454224433666234,0.15725969375661505
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,9,0.6274258073746304,0.16919091548043025
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,10,0.5837338045503863,0.16922224868116098
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,11,0.5176687666875228,0.15498158786793292
goldfish-models/zho_hans_1000mb,goldfish-models/hin_deva_1000mb,tatoeba,sgpt,12,0.47723844447290054,0.1888514398153254
