model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,0,0.5404933913620033,0.24227084188474785
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,1,0.5980436467054935,0.09541917008135316
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,2,0.5640951056911783,0.019460025853112163
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,3,0.5629173569929123,0.01775130525862495
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,4,0.5636288058943218,0.017080584318383298
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,5,0.5613887085899605,0.01664051194721065
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,6,0.5638926531758102,0.01810878153045323
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,7,0.5665137458790737,0.02335638136525707
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,8,0.5705368738998647,0.03440523628509314
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,9,0.5685333868131338,0.04978680728507929
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,10,0.5523165680821382,0.06676279132129635
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,11,0.5080948607906011,0.07877581853620604
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,mean_pool,12,0.42946321075543675,0.16465883887659302
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,0,0.5321533041833083,0.26643567825279607
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,1,0.6348907283821769,0.2659535051659881
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,2,0.6378014068763246,0.24210151531112892
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,3,0.6453385486747103,0.23218517237155667
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,4,0.6613366583748524,0.227389414223411
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,5,0.6630426441593038,0.22334579087258963
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,6,0.666719375163743,0.22688135468768456
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,7,0.65924260856285,0.22193193046694826
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,8,0.6418782931373447,0.22104137754416486
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,9,0.5860816223920056,0.20128137322522047
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,10,0.5176377069254562,0.177943613810354
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,11,0.40847383379077273,0.1422794830950925
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,token_aligned,12,0.44117507038308795,0.18778187488513418
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,0,0.5122232791661292,0.24976411631765802
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,1,0.6063809704211338,0.2540178629186824
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,2,0.586040827093486,0.13639875147017871
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,3,0.5953793928249874,0.12203206601306592
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,4,0.6059635008635995,0.1227712643879855
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,5,0.5970390638797182,0.11655340059623093
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,6,0.6027967191841793,0.12163756329834911
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,7,0.6149778060022185,0.13445916667902755
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,8,0.6207744398659436,0.1592377927219628
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,9,0.5708507593028687,0.15960405740799588
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,10,0.5058022043050487,0.14828134383365432
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,11,0.4198926318512643,0.1301262329020154
goldfish-models/zho_hans_1000mb,goldfish-models/jpn_jpan_1000mb,tatoeba,sgpt,12,0.40436939030793295,0.14992271489346032
