model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,0,0.5185555774307539,0.19595291729105932
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,1,0.5929453944175417,0.07565152706319746
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,2,0.5797315118680471,0.017744974876459502
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,3,0.5818636233362179,0.0156028177673294
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,4,0.5832593921480042,0.014654388995902245
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,5,0.5854889630560357,0.015720475235367782
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,6,0.5890849801899419,0.01927606950866776
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,7,0.5925706505716083,0.024594834741933937
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,8,0.5969387233477026,0.03304041497852571
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,9,0.6010746496071007,0.04614408475194339
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,10,0.600092541829519,0.06222941218333104
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,11,0.5823547731353957,0.0740271238213829
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,mean_pool,12,0.5299703859399267,0.20554218163001828
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,0,0.10428007255864778,0.06087945269388422
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,1,0.17066767445788766,0.07306393477496252
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,2,0.1572137787261113,0.062408891297289264
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,3,0.1585621544956904,0.05827076714384268
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,4,0.17907356658941523,0.05702122597627164
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,5,0.20895106182021683,0.059055629475510324
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,6,0.25259936513675524,0.0630523543271747
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,7,0.2687236532141644,0.0631845025803111
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,8,0.2710725336751263,0.0637279078300486
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,9,0.26637974370071815,0.061574810886643024
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,10,0.25542054554667787,0.057922249367779115
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,11,0.2177185618577261,0.0513193259992615
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,token_aligned,12,0.23697169962856032,0.059473193435126116
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,0,0.6274843602080701,0.20885782873643097
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,1,0.6143437236553653,0.21158587319884428
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,2,0.5680207175990353,0.0843663586840763
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,3,0.5621473043319827,0.06945738553019556
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,4,0.5713169162255448,0.06911036592648102
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,5,0.5911053866502963,0.07450211446314879
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,6,0.6151023893389272,0.09411718372975915
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,7,0.635520508676649,0.11637479521121015
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,8,0.6560124514405902,0.14486680091271026
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,9,0.6389472893518898,0.16858652023612972
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,10,0.5972413648825567,0.17394140488519602
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,11,0.5333497968086578,0.15939101472827277
goldfish-models/zho_hans_1000mb,goldfish-models/rus_cyrl_1000mb,tatoeba,sgpt,12,0.5158565462373752,0.21187578073842775
