model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,0,0.5719960180477269,0.17960986069390564
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,1,0.6510880649361652,0.08163997008574252
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,2,0.650468759690016,0.018224409792784373
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,3,0.6481428189880726,0.015586499466794423
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,4,0.6495733972003366,0.014838419546963598
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,5,0.6487278379558561,0.015129899432699946
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,6,0.6482839319966108,0.01903229317123736
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,7,0.6505665672138401,0.02554139967378283
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,8,0.648551140247636,0.03676092886425631
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,9,0.6487202773433185,0.051291226663753214
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,10,0.6443182835333012,0.06681388577579077
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,11,0.6309415158456161,0.0824847492057216
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,mean_pool,12,0.599446349230905,0.22776885147605574
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,0,0.09808714701129824,0.052861859857628576
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,1,0.15392761915170675,0.06482949154109899
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,2,0.15727030492043806,0.058317878447593965
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,3,0.17501942350090716,0.055671605635013985
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,4,0.2069537450666844,0.05579230576209086
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,5,0.2225341449504685,0.05843020412896017
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,6,0.26464518968348943,0.06303269181903906
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,7,0.28853877466446815,0.06462865614230356
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,8,0.3067519278825349,0.06656156058301194
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,9,0.30078311760015625,0.06457619569451166
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,10,0.28406617474022466,0.06214726403705394
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,11,0.25846891960603585,0.05724827227758002
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,token_aligned,12,0.27424157097487295,0.06678476380955348
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,0,0.6938736944628315,0.17393503350335227
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,1,0.6878200030768842,0.22672970775569806
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,2,0.6759008544518392,0.11813938128229443
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,3,0.6745671352254848,0.1085209049604521
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,4,0.6848778419283468,0.10731619476863857
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,5,0.6820005306015302,0.10474602335650192
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,6,0.6786267563049208,0.12038650808717936
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,7,0.694326868118429,0.14386405008889533
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,8,0.7050335351032925,0.1720092217905212
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,9,0.7002647113599154,0.18446398856363103
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,10,0.6759774561502963,0.18756192717786926
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,11,0.6281673779552228,0.1797427141699919
goldfish-models/zho_hans_1000mb,goldfish-models/spa_latn_1000mb,tatoeba,sgpt,12,0.6183870903326866,0.2239394108982755
