model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,0,0.5368087833911055,0.20881134001118246
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,1,0.686808819940469,0.16221873307699433
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,2,0.6910772229906316,0.053318174473738385
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,3,0.6870321798876179,0.05047470748967381
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,4,0.6832582310441151,0.05896193012833118
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,5,0.6866758198420088,0.07574957069292294
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,6,0.7061494302582743,0.10031570068247853
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,7,0.7210019324313796,0.12285757118316006
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,8,0.7375991175472619,0.1475606441018088
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,9,0.7514713564486468,0.18067112533287913
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,10,0.7634735751572861,0.19898800214104528
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,11,0.7541040040856298,0.2096804464977527
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,mean_pool,12,0.7824359693718372,0.2487352177989086
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,0,0.2654513031932581,0.02122970941754115
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,1,0.3179979947079679,0.03618350205907559
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,2,0.3771289513794289,0.03322415832768698
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,3,0.3965298755713702,0.036354232005316185
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,4,0.4093199071213763,0.040872620330825504
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,5,0.42330508401471567,0.04522562000265748
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,6,0.437000003888634,0.0479784990720913
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,7,0.44271135179236343,0.04905282085047375
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,8,0.43785150501083353,0.04894030244300957
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,9,0.4249358141450277,0.04711505534234233
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,10,0.40730559318196186,0.04295896847525458
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,11,0.3743815610928638,0.03823741325916382
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,token_aligned,12,0.40028128758479786,0.04381310221237832
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,0,0.5672123111557253,0.2168760086741381
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,1,0.6827206010672108,0.24123156224948733
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,2,0.7096144098744469,0.17641527404829013
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,3,0.7005169885738158,0.18620126771898637
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,4,0.7227981086598967,0.2063626365745233
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,5,0.7535271174320226,0.22960276749464748
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,6,0.7772565562568035,0.24655284083325527
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,7,0.7936895044969386,0.2502059940689996
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,8,0.8101699812323212,0.23652964428279624
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,9,0.8044750440248668,0.2326968428119444
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,10,0.8017415936255561,0.22586683877154304
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,11,0.7894577402219756,0.22960648975318024
goldfish-models/arb_arab_1000mb,goldfish-models/rus_cyrl_1000mb,flores,sgpt,12,0.8002267908290057,0.2496378632908532
