model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,0,0.5211386890827024,0.18672861391147444
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,1,0.579301961255643,0.14835911838807933
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,2,0.5540167347165208,0.07800803016678114
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,3,0.5652045142566685,0.07936886315944426
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,4,0.6100264324514835,0.07785604902151289
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,5,0.6251380181372097,0.08053578969013853
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,6,0.640397893332869,0.08893918570761082
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,7,0.6656103837546279,0.10965086831262785
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,8,0.6856099731216588,0.13414507229821357
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,9,0.6894722775986474,0.1545862276967551
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,10,0.6989169651148835,0.16372972633188146
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,11,0.6905781824221857,0.17171710984306468
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,12,0.7099414132158028,0.19187831537584998
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,0,0.07512654287110432,0.023930717133619675
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,1,0.1254369720480003,0.02315360869552638
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,2,0.13918718316578604,0.021116016412919325
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,3,0.16394693208808622,0.02366202628703144
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,4,0.19190459455217407,0.026558062010475794
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,5,0.20461881921940636,0.028446490300293083
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,6,0.21738611684818765,0.02990679606314619
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,7,0.24177989064182395,0.030257720418443806
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,8,0.267741467820657,0.029747368771164896
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,9,0.29036467091557017,0.028393953478653967
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,10,0.3067706975432914,0.026929697418003662
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,11,0.3000109656368856,0.025722628465100945
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,12,0.31656330040396463,0.026074268821138603
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,0,0.544678611479233,0.1710412745811568
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,1,0.6155378115926792,0.1782130871506066
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,2,0.6321604390936496,0.14241665296570422
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,3,0.6423025191685636,0.16553774031868643
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,4,0.6781194630732741,0.176523747413588
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,5,0.6842128583347304,0.18234605770767817
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,6,0.7007059623049894,0.19554352752345203
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,7,0.7269894505631355,0.20313559294114777
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,8,0.739826695358134,0.20311252668818935
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,9,0.7304822167549503,0.20162674216522322
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,10,0.7331738903666185,0.1990147242711933
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,11,0.7225205889623634,0.1984121316671964
goldfish-models/arb_arab_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,12,0.7281562145932544,0.20428750820436978
