model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,0,0.5058925589619855,0.19801401575360808
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,1,0.6080610278951198,0.20106609861115077
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,2,0.609730936120068,0.10686375265996875
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,3,0.594697623952253,0.10353554504250524
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,4,0.6014043618863453,0.10943522569782312
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,5,0.6332539203214619,0.12427804843920592
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,6,0.6555405441730288,0.13990279000643926
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,7,0.6721853656336736,0.15920207330901484
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,8,0.6991814061697026,0.1774276910579773
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,9,0.7184080106446114,0.1792657581052214
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,10,0.7216793595688601,0.18420122502377362
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,11,0.7155493483942545,0.18474267121390273
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,12,0.7174622548937021,0.19567161530437233
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,0,0.20857097869214983,0.01843656546156101
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,1,0.24712396358760136,0.023982774163321376
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,2,0.2955689177273132,0.02291098356899438
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,3,0.3232648757401161,0.026324874195668736
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,4,0.33288465020716773,0.02997730251121183
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,5,0.3300051345928922,0.03455683124615925
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,6,0.3362826208987388,0.03724780062582994
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,7,0.3365023828494121,0.03918116821740921
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,8,0.3325224888834357,0.03987439027325384
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,9,0.32639273193834756,0.038183989080896145
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,10,0.31038798908416687,0.03498635176707564
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,11,0.2916135993216006,0.031240801390511313
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,12,0.3006211454775673,0.031411080857175554
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,0,0.5474068118314398,0.20091971553081106
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,1,0.6232581537442242,0.23299928250738974
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,2,0.6708889062939752,0.17642854338292152
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,3,0.6666034077495547,0.187623342361197
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,4,0.678315777779408,0.19885674413702925
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,5,0.6958417318908733,0.21079162590286443
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,6,0.7102991367030135,0.218403851555079
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,7,0.7168063899879362,0.22202547490019064
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,8,0.7313560532459088,0.22013228527637613
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,9,0.7493355627613967,0.20836461276656001
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,10,0.7464920637727186,0.20426471715530065
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,11,0.7359159783427481,0.19932292471638718
goldfish-models/deu_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,12,0.732655579976127,0.20274932066158965
