model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,0,0.967059264641638,0.20259882263064785
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,1,0.8436675228078886,0.19079693999670158
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,2,0.8549204846729554,0.10214141583132087
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,3,0.882486871277947,0.09527939216842388
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,4,0.8727453611500966,0.10589513606986105
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,5,0.8879079486107839,0.12656640062284827
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,6,0.8940634438559879,0.14234174264399643
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,7,0.9046191244596685,0.16184505092792215
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,8,0.887373508827441,0.1782887996044368
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,9,0.8860500632706697,0.1773148065411064
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,10,0.8850384356586151,0.17938337152794784
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,11,0.873051795630696,0.17552501171029164
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,mean_pool,12,0.8628128253093493,0.18393514815206374
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,0,0.9247166772353288,0.012525169282980789
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,1,0.7920332468518981,0.018914668475866293
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,2,0.8455921250230726,0.01794005659101764
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,3,0.8647982933576901,0.01955153167412601
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,4,0.8648174357067034,0.022629769307588105
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,5,0.8540499319271584,0.026461411416691612
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,6,0.8386609556990197,0.029572780998710184
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,7,0.8309926426824508,0.031537301511776944
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,8,0.8182518228503057,0.03204071307159525
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,9,0.8123668648162382,0.030474825812508752
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,10,0.7998244250602667,0.02828807590162825
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,11,0.7725282449925585,0.025283636065718023
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,token_aligned,12,0.7807000353942861,0.02586769652121456
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,0,0.963864823930486,0.19655120428869072
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,1,0.87053035379035,0.2177704122499461
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,2,0.9173675594843617,0.164948084626509
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,3,0.9258816846272309,0.16293975946432268
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,4,0.9196325241843177,0.17871489557912404
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,5,0.9130733650240546,0.20459073350478035
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,6,0.9127822737877124,0.2193671295908488
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,7,0.9038214085350447,0.22667048491612082
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,8,0.8918271755590726,0.21633790760881796
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,9,0.8897303480955581,0.20520104243805778
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,10,0.8844146247846468,0.20012545900061068
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,11,0.8702681176556042,0.1952988237819276
goldfish-models/deu_latn_1000mb,goldfish-models/deu_latn_100mb,flores,sgpt,12,0.8558805478609178,0.20096367776191124
