model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,0,0.6353132410605962,0.2016959895599951
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,1,0.6643754330209227,0.19172311556968144
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,2,0.6828145371848922,0.09889978877846548
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,3,0.722945803488282,0.08306075316380605
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,4,0.7285937690587324,0.08690589268510487
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,5,0.7432553220129741,0.10339311350407082
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,6,0.7443968018616927,0.12454952709891304
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,7,0.7499086203359486,0.14985729311437257
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,8,0.7610459050921357,0.16723758619941023
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,9,0.7698759450727969,0.17177114713360708
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,10,0.7686280362879752,0.1747231815291195
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,11,0.7564748937565765,0.17626343623606958
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,12,0.7484679254678431,0.18532576826065267
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,0,0.3656006396469363,0.015572426054875726
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,1,0.31897687145799575,0.024485698807270535
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,2,0.38135696334641955,0.02294543870046342
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,3,0.41515900462687244,0.024905226855331395
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,4,0.43298953005797686,0.027680316427212682
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,5,0.43760307323611036,0.031816904077197
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,6,0.43716382765948875,0.03622610859530781
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,7,0.43006401595167754,0.03897619632564161
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,8,0.4237068741134409,0.03970026039924738
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,9,0.4116202184148154,0.038456671073330416
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,10,0.38967912148846556,0.03525554119578547
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,11,0.3664070384390624,0.03165770073886114
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,12,0.3770127820643772,0.032376801247698886
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,0,0.633095857735191,0.1985550048312313
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,1,0.6764856818459263,0.21818657756058457
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,2,0.7267968606209152,0.1712095068063588
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,3,0.7263204306319802,0.15669907209720005
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,4,0.7127549165530134,0.1656874803563557
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,5,0.7298626450671112,0.18583670258104973
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,6,0.7382614408244798,0.20600838866473387
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,7,0.7542375268329393,0.20898588796220088
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,8,0.7675662546199624,0.2016555092643649
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,9,0.7831909164792253,0.19271260199545423
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,10,0.7774234990188577,0.18658629744648988
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,11,0.7642696500920779,0.1835104128746858
goldfish-models/deu_latn_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,12,0.757330598985365,0.1872740004244238
