model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,0,0.6062838465850404,0.1900151157906451
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,1,0.6737339095445065,0.16073239898687083
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,2,0.6396429206888727,0.08576305445607207
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,3,0.6335045750410763,0.07964368245753937
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,4,0.6870125467014814,0.07692895556517386
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,5,0.709031233918308,0.08372455846706756
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,6,0.7140917733956231,0.09690582827176067
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,7,0.7230546334813898,0.12170699795642512
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,8,0.7323437030648087,0.1458892634288756
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,9,0.748950409394817,0.157753766576008
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,10,0.7468028497904473,0.16505311027739208
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,11,0.7417180992542607,0.16806747379441622
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,12,0.7406134612490195,0.18230651320455882
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,0,0.058584142446568364,0.017973343293531317
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,1,0.11181157672394935,0.019508571676226903
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,2,0.12446189472947991,0.018071658893928533
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,3,0.14375874606649242,0.019919273557950905
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,4,0.16180702336372266,0.022003082237295846
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,5,0.17887268460229785,0.0242408538672578
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,6,0.1934612176207076,0.026618930965329975
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,7,0.21603977403179236,0.02770874012089046
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,8,0.24806944573317194,0.027358861399589318
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,9,0.2646735313401573,0.0259748990937942
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,10,0.2712179357158742,0.0243379017674795
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,11,0.27030277580008727,0.022418164068996223
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,12,0.2997191275301342,0.02356373946791516
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,0,0.6122935974605106,0.186975521269475
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,1,0.6665930738454073,0.19215328557745484
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,2,0.6951737718488135,0.15485098642955927
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,3,0.6928234577890311,0.16445566985254187
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,4,0.7056241248233157,0.17507875174727455
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,5,0.7042929546820502,0.18801784850117534
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,6,0.7096536773494356,0.20164641960669547
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,7,0.7304570984233094,0.20668131834938477
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,8,0.7490733633286173,0.20385147939889528
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,9,0.7634261489449053,0.19489793979226067
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,10,0.7585536247558542,0.19299854369220246
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,11,0.7526549686894188,0.19134277658626284
goldfish-models/deu_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,12,0.7514870297531054,0.1967053204253439
