model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,0,0.5546031260472314,0.19035958126666674
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,1,0.6668932847442589,0.16844988937674893
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,2,0.6614350282500453,0.12027022574982128
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,3,0.650377869562697,0.10409986196761624
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,4,0.637836998397429,0.10510511872993336
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,5,0.6421706816057933,0.10903347207712724
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,6,0.6692146014041378,0.11343356491030127
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,7,0.6724342421615344,0.12527697711609517
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,8,0.6798577244445022,0.13126875449048417
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,9,0.7073687959444569,0.12908452436921358
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,10,0.7170337855753571,0.12831495634349563
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,11,0.7214387221133122,0.12667935028958824
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,12,0.7242753858189032,0.12997761732544486
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,0,0.03838258440892652,0.019279259922667692
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,1,0.11731796525049061,0.017892245982929003
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,2,0.11197074223380336,0.01591934759064907
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,3,0.12193458409758355,0.01566365540919746
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,4,0.13719351662995982,0.0163525284767768
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,5,0.15076053941516449,0.01767310129274987
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,6,0.19013565899189988,0.019249156954022396
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,7,0.2084459843113698,0.020620404802897927
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,8,0.25438863922950844,0.020915228457861576
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,9,0.2895291691808856,0.020869153389672518
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,10,0.29990891194633507,0.02075686136150557
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,11,0.3100799999772806,0.020120717516974407
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,12,0.3168536354539297,0.019963401391021464
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,0,0.5725109755749709,0.1885441752413806
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,1,0.6518608529503658,0.17997824776643373
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,2,0.6722153480123759,0.13579228580941713
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,3,0.6414333334575059,0.12929984938111094
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,4,0.6234277403825683,0.1326035354158656
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,5,0.6339413843985384,0.14923961444784495
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,6,0.6819958370773056,0.1562806480495415
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,7,0.6877853666544291,0.1588716393612526
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,8,0.7041425972368734,0.1506274467729553
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,9,0.7337200390560901,0.14747312841046786
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,10,0.7423693213378303,0.14582227991741725
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,11,0.7451236540640477,0.142570697983734
goldfish-models/deu_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,12,0.7469096602148078,0.14173895815004206
