model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,0,0.5284375286038361,0.20510521748349775
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,1,0.6071333105708377,0.20829942749166616
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,2,0.6276271605472675,0.10846684981964023
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,3,0.6270138481773891,0.10948284559558953
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,4,0.6351200832320859,0.11436277900913105
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,5,0.661292846793908,0.12347994414183414
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,6,0.6929440631405479,0.13814077649416656
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,7,0.7043635225960341,0.1589349921265575
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,8,0.7226093460394591,0.18174988328278593
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,9,0.7308457787056225,0.18208748732069083
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,10,0.7267663429546533,0.18244346228162997
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,11,0.7043139431942346,0.18148267295438245
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,12,0.7198639832323331,0.19770892555540678
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,0,0.22888122648888026,0.019638377340694995
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,1,0.2750966945625266,0.02642708559518422
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,2,0.33526557072933194,0.024960727202113207
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,3,0.36517070585054384,0.028721028582948765
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,4,0.3750599675702501,0.03328764011979209
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,5,0.37364562581439653,0.03830634247471642
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,6,0.38271290341507225,0.04097199866131061
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,7,0.3816920431886437,0.0430917534243731
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,8,0.37716060081079594,0.04374355018314919
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,9,0.37538551501451756,0.041587972841796654
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,10,0.36132663089698364,0.03740922937192313
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,11,0.3216656156566906,0.031552503445929234
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,12,0.33841166393461364,0.03350749555628232
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,0,0.5603196389043558,0.19540326768482863
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,1,0.6373851356677604,0.2357414972226732
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,2,0.6849490258416291,0.1816751649560067
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,3,0.6983143468480446,0.18765432643437963
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,4,0.7113333125630775,0.1990618687439631
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,5,0.7290715765594362,0.20598239387693648
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,6,0.7476136996760838,0.20832787260394778
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,7,0.7465031161639099,0.21439423079171668
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,8,0.7485062663557837,0.21731595202239973
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,9,0.7530737028224084,0.20405062954727562
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,10,0.7495480885819051,0.19895988431988088
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,11,0.7323528799666428,0.19524211372950978
goldfish-models/eng_latn_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,12,0.7299131928776547,0.19987655212187694
