model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,0,0.9703547390824256,0.20531814736758952
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,1,0.7655145493384412,0.19422784778011037
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,2,0.7166523229933278,0.10741729299807998
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,3,0.7876154471294288,0.10835105626326566
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,4,0.8405968053634459,0.11566870924361886
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,5,0.8793423231641021,0.12006515374135296
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,6,0.9018253207463971,0.12969798599650909
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,7,0.9129741175575834,0.1508033730732989
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,8,0.9089349955217597,0.17475301547822059
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,9,0.9034661096741444,0.17785741895367171
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,10,0.8904398173306538,0.17527178181576736
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,11,0.8554138349376869,0.17058767931912003
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,12,0.8671534778236046,0.19091612245495768
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,0,0.9259603209461765,0.013567374098882343
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,1,0.7785452749654048,0.020926907995740922
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,2,0.83722558542417,0.01966035119426302
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,3,0.8572579816557548,0.021730099942325436
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,4,0.8581999355358009,0.02471809736938994
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,5,0.8445213072312041,0.027269801564129576
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,6,0.8345537538642106,0.029876183891815317
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,7,0.8199409076088587,0.03345885591666276
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,8,0.8068815774227516,0.03496998933198995
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,9,0.8059294709533228,0.03396924601400256
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,10,0.7963865863314268,0.03054097113490749
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,11,0.7508647091543964,0.02536235288521889
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,12,0.7853404415103358,0.027275160478936408
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,0,0.964584088889777,0.19283787057528645
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,1,0.8468833882693154,0.2264901876316015
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,2,0.8842583759539124,0.17896340796757013
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,3,0.9105845626796374,0.1733965291535154
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,4,0.9147350701354318,0.18814879820464878
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,5,0.9160159580727815,0.19343758560990285
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,6,0.9052065094696318,0.1936181945213905
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,7,0.9056530328311374,0.20563199261753504
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,8,0.8946838516911642,0.21398734662078206
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,9,0.8931668671280831,0.2001575834187962
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,10,0.8856782326217626,0.18874423257083978
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,11,0.860370105251442,0.18115373354150058
goldfish-models/eng_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,12,0.8595252512579563,0.1873498903865831
