model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,0,0.61714110935494,0.20278873496204383
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,1,0.6587743398157558,0.16337107386976016
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,2,0.6403834670596147,0.08501895860951579
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,3,0.6465738187376467,0.083573230939836
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,4,0.695729484204043,0.08077500972568827
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,5,0.7128301226195225,0.08290243685872888
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,6,0.725161579745142,0.09578039728026888
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,7,0.7361171478138541,0.12180127567888582
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,8,0.7450719913089844,0.1490264754983799
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,9,0.7525362717145879,0.15891583948661916
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,10,0.7598319328943555,0.16208693185760373
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,11,0.7463160832899275,0.1629337934836113
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,12,0.7588295034786745,0.18652421030492325
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,0,0.06040616185819079,0.01724506142968743
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,1,0.11090155903165595,0.018549207736074404
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,2,0.1272392747095734,0.01741937583391524
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,3,0.15476498070964714,0.019643345689237753
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,4,0.17299229200260935,0.021881848531817794
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,5,0.18333298129091827,0.02406991021427387
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,6,0.21175866578830474,0.026065271821780433
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,7,0.23270908800203186,0.027031202054779335
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,8,0.26595829494303164,0.026804571443380238
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,9,0.29847561120314114,0.025208065778859663
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,10,0.3197227452178872,0.02334270386981984
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,11,0.29364682275081505,0.020534553562688327
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,12,0.3450235304016313,0.02295168136317069
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,0,0.6049015079133112,0.17056110487287532
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,1,0.652044429311298,0.18495210873538714
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,2,0.6981497845764163,0.1483757087923111
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,3,0.7131448323662587,0.15285145330023953
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,4,0.7218792884912578,0.16609367999870256
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,5,0.7229156013287583,0.1717508921502967
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,6,0.7384398415356312,0.18215863462802243
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,7,0.7555372453058588,0.19815462309723886
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,8,0.7631513832335762,0.20501525736756307
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,9,0.7679975474681602,0.1944092368540208
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,10,0.7746617969680527,0.1882807454594192
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,11,0.7630511928811494,0.1850673255582383
goldfish-models/eng_latn_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,12,0.7667233066656861,0.19539132333915765
