model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,0,0.5647719892670293,0.19497858778186536
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,1,0.6686857154274185,0.17630719400825212
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,2,0.665106281297481,0.13208565180274606
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,3,0.6743894779198051,0.12317511919876643
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,4,0.6700386747042957,0.1169129496526869
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,5,0.6861023416395388,0.10806614124471572
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,6,0.6960357541852752,0.10400408506367402
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,7,0.7099673160686111,0.1181337883122608
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,8,0.7119317699192388,0.12944027154120577
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,9,0.7225425926737439,0.134485239059253
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,10,0.7345080566896004,0.13521306630529112
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,11,0.744495073831637,0.1354099699795089
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,mean_pool,12,0.7534437301765823,0.13894769682978975
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,0,0.04397017692654702,0.021110670414969432
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,1,0.13889958014230652,0.01812661298807463
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,2,0.14189628880092936,0.016899014405092026
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,3,0.16074526381683066,0.016560280971945278
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,4,0.16554578585096777,0.017085461954409003
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,5,0.17615582179019285,0.017572087193357264
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,6,0.20488152361776799,0.01879613686295381
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,7,0.23958854716448316,0.02054555772915824
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,8,0.2677918063358213,0.02111272173353329
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,9,0.2883442956008887,0.021099207422150504
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,10,0.31457850923751346,0.02051301276282617
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,11,0.33222662341795356,0.01963730633407804
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,token_aligned,12,0.3429459512021925,0.01880698752930713
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,0,0.571674829843253,0.18575594868546905
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,1,0.6547522539604074,0.18060937180882847
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,2,0.6637912930690109,0.1489429463023336
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,3,0.6813060968850053,0.1505216112235453
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,4,0.6865463078282066,0.15152147253530632
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,5,0.706985864429189,0.150288440497913
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,6,0.7257602421620155,0.14657156520985454
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,7,0.7438683708927125,0.1556003608614686
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,8,0.7485538662312838,0.1559911537987878
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,9,0.7580990076025668,0.15366547803783429
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,10,0.7657140659687819,0.1501094574268422
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,11,0.7701075891193387,0.14676160938063276
goldfish-models/eng_latn_100mb,goldfish-models/jpn_jpan_100mb,flores,sgpt,12,0.7752091167078364,0.14828563023617383
