model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,0,0.5334317331718396,0.17996824938462308
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,1,0.6833451879581923,0.19839341670895155
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,2,0.7216267281697594,0.15286269445381864
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,3,0.7264776682068695,0.12988765039149947
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,4,0.7235156859216599,0.12056415508672848
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,5,0.7368493491120223,0.11580954182763152
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,6,0.7584458957569089,0.12141828970310214
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,7,0.7705330424978187,0.13519078291713701
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,8,0.7678413280410278,0.14772479191650975
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,9,0.7812615362193116,0.1522977600810397
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,10,0.7836584367767946,0.1511525407409107
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,11,0.7783108740949658,0.14799259972182524
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,mean_pool,12,0.7686541650158806,0.14939426892355345
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,0,0.4956836728736579,0.012840935026567949
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,1,0.4098665849916741,0.019878419501896852
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,2,0.46944549760311793,0.018568212054973523
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,3,0.49879586761827627,0.01965431782227837
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,4,0.5144017828719208,0.021186963687821785
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,5,0.5192501533170899,0.022388704077940694
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,6,0.5083497289110848,0.02624534103007378
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,7,0.48734343468495983,0.030497065188306617
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,8,0.48131369160907594,0.032687849360981555
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,9,0.4770936583628296,0.03249182532798799
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,10,0.4680838378019721,0.03020879033270002
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,11,0.4538836127244071,0.02723983655018697
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,token_aligned,12,0.44675642988361325,0.025014548903022616
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,0,0.5464537101203973,0.18412462218196554
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,1,0.6850565399709028,0.20738721000308144
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,2,0.7193051775823464,0.17765611436140927
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,3,0.7160412365232685,0.16003038725395213
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,4,0.6987192882622985,0.15334485714624285
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,5,0.7090144986351704,0.1535307147095923
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,6,0.7478696055924601,0.16346788865568818
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,7,0.7704353993183969,0.1755386740347315
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,8,0.7758991486073621,0.1795666603652346
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,9,0.7983939494723717,0.17272176633623704
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,10,0.8014832719125479,0.16282769521723373
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,11,0.7938811365478955,0.15524014585845022
goldfish-models/eng_latn_100mb,goldfish-models/spa_latn_100mb,flores,sgpt,12,0.7871890333020296,0.15425816360672617
