model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,0,0.5556848507669212,0.1894093705192518
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,1,0.6292546651616251,0.1740718325599853
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,2,0.6045795580290974,0.0888497938938889
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,3,0.5811490873621339,0.10627090044413244
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,4,0.6183376836212365,0.13051018739835024
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,5,0.6376668577185095,0.14702135765815183
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,6,0.6724131695546077,0.1647980327578349
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,7,0.7070128572818098,0.17614104106140313
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,8,0.7123595031522915,0.18067681708727737
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,9,0.7140979316751739,0.18504305919245714
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,10,0.7014072510842467,0.18880539884513173
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,11,0.6839142119311219,0.1876446484669499
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,12,0.6912476560981357,0.19764230510032846
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,0,0.31546924518445774,0.0216858894275866
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,1,0.3123724877725301,0.026053153018832882
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,2,0.36620571889341513,0.025074398646127784
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,3,0.3756518975532992,0.029879500198647616
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,4,0.3705265993169165,0.035471425382043904
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,5,0.37025593384239275,0.038869861076179166
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,6,0.3796416404781261,0.04135341615676507
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,7,0.3808800772947685,0.04289419730251129
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,8,0.38121999381634214,0.042784345298053125
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,9,0.37145233334177696,0.040673374597851246
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,10,0.35567706596008863,0.03809950254073905
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,11,0.3334786328231643,0.034037902287230075
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,12,0.34112023810864994,0.03645869924247987
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,0,0.5537519572503867,0.19484912412869154
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,1,0.6573148346792274,0.20570350259860587
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,2,0.6971645897728522,0.1471483392404744
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,3,0.6757365228884901,0.18333834797076132
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,4,0.7062451412644112,0.2086442832205629
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,5,0.7091439901519844,0.22339786001286419
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,6,0.7147640023206276,0.2222743586867471
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,7,0.7353198349002864,0.21823608447867146
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,8,0.7375217542553753,0.21094571631578374
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,9,0.7319647792550447,0.20467390603076238
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,10,0.7186570661266117,0.20371597634932423
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,11,0.7024351831071307,0.20067251825208354
goldfish-models/fra_latn_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,12,0.7082529140406878,0.2094756991129908
