model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,0,0.5397376006166208,0.198498103392198
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,1,0.6681432725174862,0.1912146068486143
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,2,0.6922027809923803,0.13455376071923628
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,3,0.6442037977064358,0.11614140167979552
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,4,0.632817631160151,0.11795023279944362
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,5,0.6522374164406293,0.12401323407709083
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,6,0.6722449864520725,0.13815949116407492
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,7,0.689956299622329,0.155502605927188
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,8,0.7200033456605668,0.1554916723018761
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,9,0.7389306329490347,0.1555515876896515
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,10,0.7446245459350339,0.1553858323545276
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,11,0.7455793377247041,0.1540616089048176
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,12,0.7566837463845607,0.15601120899536616
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,0,0.34435561523943153,0.0170634529813587
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,1,0.343875790036306,0.022217648287495253
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,2,0.4187004307070326,0.020497234012964705
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,3,0.4420659229644864,0.022324339772263207
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,4,0.4377161706348465,0.025038523742770144
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,5,0.4366378460983157,0.028275534693767736
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,6,0.4342188685315624,0.03231102974530689
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,7,0.42638889089857684,0.03462797712981873
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,8,0.4256533193844703,0.03499995171997423
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,9,0.4113942264323475,0.03447123541761568
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,10,0.39797953796176083,0.03255003232788625
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,11,0.38266553171665,0.029775085469670354
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,12,0.3753048271312893,0.028398724490754198
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,0,0.5570395821769347,0.19803091406503975
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,1,0.6591139396537924,0.1976743623732229
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,2,0.6923179877488391,0.15058175785766273
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,3,0.6684071653853912,0.1543296776328536
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,4,0.664259913498031,0.16752857806377103
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,5,0.6963017154980505,0.18095121244862522
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,6,0.7324108799011501,0.18691421782914253
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,7,0.7508236669360534,0.18221395293654738
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,8,0.7731351916897813,0.1663988972300042
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,9,0.7810491599338472,0.1580041242255425
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,10,0.7789923225372467,0.15366706807628433
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,11,0.7773485933985824,0.15047150355596692
goldfish-models/fra_latn_100mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,12,0.7803773512940201,0.14758484883062978
