model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,0,0.6165910604266178,0.19400988992953935
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,1,0.6059300616823308,0.1875914624323928
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,2,0.5938597800848183,0.10546421965949461
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,3,0.647535104649971,0.11063082278604348
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,4,0.6964229451955785,0.1247629501520121
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,5,0.7325698712417429,0.1329852697314328
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,6,0.7453377098688896,0.1405346364524485
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,7,0.7666581498483342,0.15458450810833102
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,8,0.7608026474856862,0.17769073393538753
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,9,0.7542685472469647,0.18590391616597665
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,10,0.74448006778227,0.1879368459686112
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,11,0.7316072192534083,0.18385584844816047
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,12,0.7399998363586221,0.19178447223095624
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,0,0.3571891743168225,0.020072047870491598
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,1,0.3619113833572273,0.027832235410253186
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,2,0.40184105100068096,0.026381733385767984
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,3,0.42278738216900624,0.029842756633646925
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,4,0.42651690956063304,0.03437059756316893
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,5,0.4241324805272925,0.03690867293888513
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,6,0.42738990581758496,0.03923338583751368
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,7,0.425005956118986,0.041583586757550514
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,8,0.41713975715590995,0.04282548703999345
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,9,0.4071160336757837,0.040507543869144846
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,10,0.3858032692388418,0.036385419761649045
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,11,0.36537679426203185,0.03162851254578771
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,12,0.3983302985787753,0.03570402907905653
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,0,0.5849219541700735,0.1809690459014608
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,1,0.6166821134981784,0.20860800983668012
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,2,0.6728849394754535,0.1628101730951456
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,3,0.7067157505039968,0.17832910596248483
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,4,0.7222239167433865,0.1963097432827293
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,5,0.7308772082917595,0.20193716742323597
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,6,0.7412554909977582,0.1992326904076371
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,7,0.7732930460661961,0.2027792938125396
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,8,0.7628189923245607,0.20867796255282928
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,9,0.759113122815867,0.20127462610645258
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,10,0.7512459002230877,0.19352328568116492
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,11,0.7423756746549468,0.18431877877024888
goldfish-models/hin_deva_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,12,0.7478485530825764,0.18275881181719644
