model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,0,0.5888468232159709,0.1996301012833293
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,1,0.6005721869322725,0.18622463713588971
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,2,0.6499732496920491,0.09341314051535023
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,3,0.699135497515866,0.08429309410363865
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,4,0.6928528047052867,0.09341445535783466
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,5,0.7027294591526467,0.10810657591994828
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,6,0.7080825404600339,0.12736694000188528
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,7,0.7144267312444486,0.1466213741115662
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,8,0.7165238776695613,0.16654163930336846
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,9,0.7145322783510089,0.17603374646981818
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,10,0.7054081172089041,0.17851944572952247
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,11,0.6925402136772406,0.1763248268310531
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,12,0.6987603619072146,0.18645017059480418
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,0,0.26333428801376374,0.0184098378310936
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,1,0.269465273131917,0.02666021903318619
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,2,0.32021869553816684,0.024649492057259616
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,3,0.3409094528144209,0.027423046040208503
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,4,0.3476951820181666,0.030859747206335247
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,5,0.35306723784153743,0.0347068010330492
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,6,0.3560769636196049,0.03869495304703084
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,7,0.35555280919445903,0.03961033336720004
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,8,0.3513186637764574,0.039984480894712904
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,9,0.33765020835567844,0.03786919439044221
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,10,0.3199659935263075,0.03417049563944533
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,11,0.30348977453006293,0.030288209072159795
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,12,0.3433114903890438,0.03465759953762239
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,0,0.57528957357302,0.1867636523803986
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,1,0.6001153801059292,0.221370910717763
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,2,0.6823442757452706,0.17110399638490675
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,3,0.6885436317937247,0.16835524930270498
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,4,0.6596008248753709,0.17831122218045498
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,5,0.6770086107254574,0.19715642322001536
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,6,0.7047520762705102,0.21698524262519558
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,7,0.7275585239462351,0.2149661234099079
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,8,0.729289702809298,0.21434915973160915
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,9,0.7290749144870706,0.20766216051942796
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,10,0.720750018344579,0.20377512600679548
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,11,0.7136797038312203,0.19723467091396346
goldfish-models/hin_deva_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,12,0.7181840643883317,0.19732020047564558
