model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,0,0.4883714832964164,0.17902905306964256
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,1,0.5694830940805778,0.18352088624205276
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,2,0.5798890273719209,0.10071956071803725
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,3,0.6511267032496212,0.09626829077825141
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,4,0.6653457565567581,0.10362233707289496
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,5,0.6756481872844836,0.11374487979397074
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,6,0.6907381885641737,0.13188942496104095
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,7,0.7034734768699055,0.14581348150985346
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,8,0.6926321895431816,0.16563300244448453
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,9,0.6932130203342488,0.17188532360317546
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,10,0.6888057312115284,0.1741045043759072
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,11,0.6805460938969845,0.17336234028553027
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,12,0.6822654929330885,0.17933926439660236
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,0,0.30350396148481384,0.01852406782128166
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,1,0.27729126360136286,0.02822438335868011
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,2,0.3255025469854741,0.02663703702750438
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,3,0.3464427061361423,0.02983002218424919
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,4,0.35079845003099963,0.033328639541885544
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,5,0.34453417963361077,0.035614163983161154
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,6,0.34830417414929077,0.03911522215320568
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,7,0.34419653688913177,0.04089164904621871
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,8,0.33903449455632434,0.041785986298930364
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,9,0.3292223533729256,0.03935800477092467
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,10,0.3129798079504042,0.035301236542871255
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,11,0.2917955829739138,0.03134846530709035
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,12,0.32343768587447824,0.03540348037536286
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,0,0.48680951650537224,0.18453572931469317
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,1,0.5741953109627772,0.21807385656861233
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,2,0.643810346720821,0.17769674620652534
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,3,0.6659687985695082,0.18149587175268045
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,4,0.6451214760317293,0.18788856728886164
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,5,0.6431561574246493,0.19337180540174886
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,6,0.6851412630063273,0.21124730843449233
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,7,0.7174960626431439,0.20955059390762537
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,8,0.7065171806146816,0.2095453632108001
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,9,0.713644389424376,0.19826524984602406
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,10,0.7101870627557577,0.1917599294840788
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,11,0.7083818468342511,0.1852216055085127
goldfish-models/hin_deva_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,12,0.7050590496277517,0.18693222440336846
