model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,0,0.6000977070773625,0.1849156902443182
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,1,0.6120870522677851,0.15966161201403112
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,2,0.6044047706307442,0.08281189665696669
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,3,0.6263603569695365,0.08650585237853929
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,4,0.6724900984426528,0.08833631186570287
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,5,0.6875548473041562,0.09164182067130452
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,6,0.690755451079655,0.10164891205731759
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,7,0.7113294948996107,0.12160470882974385
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,8,0.7130157799955206,0.1500246939288887
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,9,0.713025799771484,0.1638759321918827
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,10,0.7100275532024902,0.17180844668142184
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,11,0.7062921191729002,0.17156952536512435
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,12,0.7184107807944307,0.183750124200044
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,0,0.06250781728635346,0.01726020842639661
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,1,0.11523206739459588,0.018226148819049194
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,2,0.13254452363530236,0.016617216133520796
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,3,0.15028119605066792,0.01945740265464957
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,4,0.17054857322725728,0.02184394025222922
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,5,0.18199551412665357,0.023576869223669118
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,6,0.1971215394903068,0.02500145295543157
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,7,0.21832394547606598,0.025031267495580888
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,8,0.23899856934388,0.02469933929782423
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,9,0.25495849200196125,0.022941743280844057
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,10,0.27112870713168963,0.021216827227402646
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,11,0.27620715236597954,0.019515669615901555
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,12,0.35226512247536795,0.02297251695862746
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,0,0.5858642707215893,0.17408196854307834
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,1,0.6184519415465731,0.18328446653795066
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,2,0.6508187238880909,0.14667546282387164
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,3,0.6666397535016401,0.1724060210568443
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,4,0.6851164204378426,0.1889011873099391
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,5,0.6857053472431154,0.19513948024280817
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,6,0.6961381152284212,0.20607983648813108
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,7,0.7245169105488849,0.20841324668252198
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,8,0.7204731435224531,0.20759411875319847
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,9,0.7201355267056851,0.1970115655314097
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,10,0.7196740799891467,0.19319019044383748
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,11,0.7197397907807911,0.18777387693742953
goldfish-models/hin_deva_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,12,0.7286000379728267,0.19064535357728826
