model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,0,0.5065639315631206,0.20485355805522296
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,1,0.5850646152904688,0.1893649510140728
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,2,0.522859811929259,0.09073819856863151
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,3,0.5119466984402622,0.0878202127811304
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,4,0.5178204404128313,0.09105636853451048
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,5,0.5245835945818325,0.0934871721061823
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,6,0.5301620698527973,0.09900090139088076
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,7,0.5448486610185694,0.11249807845192275
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,8,0.5899016516402309,0.13597704967559462
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,9,0.6380288481965385,0.1460235993122707
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,10,0.6648919954189328,0.15826899066120828
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,11,0.6622995922192643,0.16152831730549522
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,mean_pool,12,0.6953873616420908,0.18054149765426794
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,0,0.05585733019878185,0.02583714991700519
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,1,0.12908905557704542,0.02423961131358658
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,2,0.1331825747296161,0.021677290673979947
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,3,0.16748428967983656,0.022757098203895612
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,4,0.18862254789697547,0.024561528132702112
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,5,0.20988406401020765,0.02709670433224395
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,6,0.23101409025108452,0.028799202658283014
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,7,0.25246581515172256,0.028658030907822957
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,8,0.2793499963360162,0.02960462229597895
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,9,0.30803211683512466,0.027758133743549462
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,10,0.3128622463157139,0.026987682186646877
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,11,0.303653404630803,0.025612485741199818
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,token_aligned,12,0.31617189854039485,0.026390199194509852
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,0,0.5224190281974374,0.19722147531804055
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,1,0.603744447169101,0.21389617208048187
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,2,0.6244151170521631,0.1535735347624797
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,3,0.63509106243715,0.1559952287732025
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,4,0.6573685035048406,0.16892302333993198
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,5,0.6830438648258307,0.17798141829377642
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,6,0.6983699260330167,0.18511214803807588
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,7,0.6973305349984571,0.1835729389100934
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,8,0.7084765508345896,0.19371907600170396
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,9,0.7160278079575144,0.18390919882706838
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,10,0.7135017574689437,0.18528652225288267
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,11,0.7011916989063741,0.18125663012399712
goldfish-models/jpn_jpan_1000mb,goldfish-models/arb_arab_100mb,flores,sgpt,12,0.7148503059310042,0.1907408574299538
