model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,0,0.5825916854188732,0.21388429950302423
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,1,0.6324121858094885,0.17935399335536434
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,2,0.6044066457104942,0.0824699870482808
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,3,0.6430356574846904,0.06939682117310719
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,4,0.640652048598721,0.07331691897322384
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,5,0.6402705577229665,0.07868180987326744
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,6,0.642660041843358,0.08705485180432485
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,7,0.6426361214601608,0.1023948758908595
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,8,0.6687335656938622,0.12298581755978956
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,9,0.6931413958298918,0.13475787978302187
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,10,0.7075276039115761,0.14333005648476552
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,11,0.6929310642287925,0.1476790286301606
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,12,0.7255380975151602,0.163785301959816
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,0,0.04794484149199792,0.023083338637963913
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,1,0.12636538026976557,0.02352410706871057
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,2,0.11888137118492419,0.021129819825172945
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,3,0.127753897914556,0.02081441019133091
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,4,0.13808056824488601,0.021468106063544462
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,5,0.16431203193718558,0.02320155704421034
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,6,0.20277425973869237,0.025950046921519906
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,7,0.22862758058778188,0.026464359820159447
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,8,0.273631855000679,0.028024542855099862
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,9,0.2979716024035402,0.026840751901650094
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,10,0.3118006993000744,0.026198559745231144
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,11,0.3114785479518621,0.024887876646769107
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,12,0.34475848730542685,0.026096748972409812
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,0,0.5862635623291674,0.21892059712383102
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,1,0.6546205012781964,0.23269136073727284
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,2,0.6994725128584767,0.18444175790245493
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,3,0.6931747281058064,0.16543253565946772
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,4,0.662590874337267,0.17282655031977767
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,5,0.691592136773173,0.18819585195229402
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,6,0.7224989193362232,0.20179713632663268
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,7,0.7295205505753143,0.19980038040796075
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,8,0.7493051454566576,0.1939234429418735
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,9,0.7453952603767267,0.17675509080106383
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,10,0.7367394494285365,0.1738057488783731
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,11,0.715024811674997,0.17102168944764698
goldfish-models/jpn_jpan_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,12,0.7355251293945267,0.18030335623588056
