model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,0,0.5756356039409825,0.2132802323540085
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,1,0.6546759704411553,0.17052155896685883
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,2,0.6166526368414394,0.08371336828139266
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,3,0.5422892517222406,0.07679017847780656
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,4,0.540421008231391,0.08222607285966278
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,5,0.5731569804622804,0.09484030518726289
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,6,0.6164900501793606,0.11926425666014773
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,7,0.6165451925590144,0.13844015177967237
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,8,0.6397864635725063,0.14772832687665916
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,9,0.7012944462892049,0.16694020803385184
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,10,0.7324957293636055,0.1785194992016192
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,11,0.7261224168147273,0.18076378257242584
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,mean_pool,12,0.7635688430165265,0.20135249044413642
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,0,0.35029785580597816,0.01805907556861938
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,1,0.35935083002421336,0.026886252974391206
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,2,0.43202776486688726,0.02462224194786779
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,3,0.4472688235836244,0.02731962690910675
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,4,0.44781079277455144,0.03117541457634269
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,5,0.45197992722035535,0.035174160487275306
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,6,0.4544311618888304,0.03856154013206316
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,7,0.45221403170838476,0.0406236517685348
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,8,0.444976884454597,0.04069581462117437
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,9,0.43129604725445375,0.039626505310853974
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,10,0.41008668361347256,0.03676369172379074
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,11,0.3715250614816993,0.03216702993796392
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,token_aligned,12,0.38710570624477764,0.035187405284244626
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,0,0.5702381341109785,0.21592868172049853
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,1,0.6903095248959803,0.2247802889253914
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,2,0.7327666691476978,0.16541863980780902
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,3,0.6876880268055797,0.177617920347685
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,4,0.6999577414148594,0.19749250492452866
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,5,0.7339822939505584,0.20962933685442078
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,6,0.7615664655594855,0.21601579245646155
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,7,0.7701432230474553,0.2149007617508397
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,8,0.782878361596071,0.19600850628406438
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,9,0.7906501537536653,0.19093864648358955
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,10,0.7822771781953439,0.18757535581571946
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,11,0.7673763724047742,0.18402093655813337
goldfish-models/rus_cyrl_1000mb,goldfish-models/fra_latn_100mb,flores,sgpt,12,0.7771886238135494,0.1960050218749143
