model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,0,0.6073899841637659,0.20574498698186136
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,1,0.623781563783668,0.18246731719865728
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,2,0.6021379263295619,0.08115643429169606
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,3,0.5258159130711528,0.07653927876940432
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,4,0.5072849845272217,0.08488106809688027
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,5,0.5445172883800947,0.09999730703281301
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,6,0.5907617451303596,0.12167477738850808
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,7,0.6273326854659006,0.13373139262545625
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,8,0.6454154046504231,0.14909437235949027
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,9,0.6781956268455036,0.17037095563708882
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,10,0.6880850883140418,0.18296953716307032
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,11,0.6768635404921393,0.18381299301928658
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,mean_pool,12,0.7027717722226302,0.20167324850848486
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,0,0.28583496662305585,0.020429994413853195
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,1,0.30399509406081715,0.027630244103683366
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,2,0.35719699664309806,0.02543986677350069
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,3,0.3664742564590933,0.02910616298756026
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,4,0.3675778502170176,0.0335189921978365
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,5,0.3726564152334842,0.03778005969307277
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,6,0.3810368420322208,0.040760467172806
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,7,0.3841711020935003,0.042096788284015176
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,8,0.3837451972650704,0.04250849197301631
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,9,0.3684462510806102,0.04129684467658814
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,10,0.3528527887262444,0.03844078430071206
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,11,0.32998821545686763,0.03430250693902724
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,token_aligned,12,0.34614782877676326,0.03766094873070846
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,0,0.5795140291328589,0.2098777303099255
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,1,0.6556134962073373,0.22459272924674573
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,2,0.7041134333002684,0.15269051149295063
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,3,0.6688689623777342,0.169749171946749
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,4,0.6692289413849191,0.19626980844553638
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,5,0.6859262412844893,0.2167889595343337
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,6,0.7049542547834231,0.22446293584151342
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,7,0.725653588736136,0.22719521356195316
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,8,0.7315018325451028,0.21554724089211683
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,9,0.7292865621976291,0.21435648750080283
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,10,0.7229189171216998,0.2112389655318738
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,11,0.7103175245313438,0.20837059461619312
goldfish-models/rus_cyrl_1000mb,goldfish-models/hin_deva_100mb,flores,sgpt,12,0.7251564165627516,0.21851595716306593
