model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,0,0.9629684522557588,0.2063262572442812
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,1,0.8014591705686045,0.17842785976918435
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,2,0.8339307319877176,0.07826157697013035
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,3,0.8978873069832433,0.05929605731868508
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,4,0.9129979210076375,0.06191858365951011
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,5,0.9216040967836961,0.07602903255605443
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,6,0.9249745594127946,0.10183904487209522
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,7,0.9014309876988432,0.12751915091967594
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,8,0.8842462053518483,0.14191157356795175
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,9,0.8905601204575304,0.16295184802509238
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,10,0.8877775975897392,0.1710213241301631
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,11,0.8646656915163362,0.17518172260738443
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,mean_pool,12,0.8670531831672518,0.1911754408663241
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,0,0.9293815375219359,0.014183588254338858
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,1,0.7666727439126991,0.025517575276865673
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,2,0.8354384587156088,0.023287074692799538
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,3,0.8565358079542833,0.024466681593234205
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,4,0.8618487731353942,0.026490662207488868
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,5,0.846974839946062,0.030161944765727287
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,6,0.8243009263422081,0.03431846173052366
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,7,0.8068106371541698,0.03673818596885374
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,8,0.7931532350227076,0.037179574618223625
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,9,0.7866188216154865,0.03616293568279744
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,10,0.7699890913841966,0.03312292409933566
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,11,0.7273461691613081,0.02914178850070208
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,token_aligned,12,0.7647756076005511,0.03245638585029282
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,0,0.9629749388910113,0.20296477217635875
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,1,0.8502354470550468,0.2270067619886872
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,2,0.9105520815999887,0.16819589249214242
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,3,0.93296773418111,0.15079814949575693
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,4,0.9287402560831407,0.163789812482051
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,5,0.9188812902714769,0.18557772308975712
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,6,0.905594923973039,0.2057121618401247
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,7,0.8975611230113746,0.21533871421203707
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,8,0.8934795757475117,0.19949077261411197
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,9,0.8873088787777377,0.19301494541109127
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,10,0.875639991841666,0.18289347600094108
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,11,0.85449288455842,0.1792478614023731
goldfish-models/rus_cyrl_1000mb,goldfish-models/rus_cyrl_100mb,flores,sgpt,12,0.8598112318076158,0.18594235514178978
