model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,0,0.5203947285928376,0.19085078697202162
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,1,0.5788954289575975,0.1766982170675023
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,2,0.5369604606606911,0.08559095112643617
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,3,0.5889714216387161,0.06712514598270826
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,4,0.6126644277381285,0.06914257123635328
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,5,0.6355761988034828,0.0810266680937104
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,6,0.6617348684977188,0.10561451822328043
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,7,0.6743563954046116,0.12472154463267235
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,8,0.6875872130423044,0.13944348083919778
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,9,0.7105726671648834,0.1585475922678816
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,10,0.7234842416793417,0.16639460755178206
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,11,0.7116183968965583,0.17047468951749872
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,mean_pool,12,0.7367611573312118,0.18515151513814054
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,0,0.31958685048352303,0.016234520123753628
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,1,0.3016470467594551,0.02762767028453968
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,2,0.36322113061352024,0.02548364288934459
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,3,0.39190744673915406,0.026786623541439496
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,4,0.4141172078367313,0.029057366735300388
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,5,0.42163202940071276,0.03196063434473246
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,6,0.4239294300976816,0.03662609341940066
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,7,0.4215472785787819,0.0400152565886024
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,8,0.4171896317137542,0.041689472660942854
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,9,0.40847069838990613,0.04101414849687433
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,10,0.3943764391576285,0.03776658069417765
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,11,0.36214509341855255,0.03317056832976703
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,token_aligned,12,0.38489086977447284,0.036050269654040026
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,0,0.5215221842743801,0.20359254875025978
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,1,0.6325737871584687,0.22929338794234103
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,2,0.6649725234255375,0.18044698538883006
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,3,0.685372344186762,0.16622369524349
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,4,0.6797097107286124,0.16778753299053706
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,5,0.6848624496289513,0.17920249718761266
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,6,0.7221111963937111,0.19989354902569426
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,7,0.7428529872521765,0.20525864315455722
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,8,0.7541763130959424,0.1962108702264044
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,9,0.7646878552301556,0.1879364886595132
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,10,0.7592438686649118,0.18069372596173022
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,11,0.74168722957621,0.17875437492039506
goldfish-models/rus_cyrl_1000mb,goldfish-models/spa_latn_100mb,flores,sgpt,12,0.7494624384629345,0.1853350012412648
