model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,0,0.6057010480685274,0.19741108521631012
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,1,0.6483614330285684,0.15002366974736178
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,2,0.6087895625542746,0.06840407980988128
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,3,0.5887157268194915,0.05808645517888574
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,4,0.6615496287651959,0.05592368438861311
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,5,0.7042519743575807,0.06372863949411141
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,6,0.7243099952178013,0.08161601393759216
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,7,0.7263031347094071,0.10589783640820125
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,8,0.731456255881585,0.12714537027562894
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,9,0.7332941210089078,0.1513735672842258
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,10,0.7343190813521597,0.16437456694042857
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,11,0.7226431247441422,0.1691021417016605
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,mean_pool,12,0.7452999214037631,0.19177371212740796
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,0,0.06409237484720066,0.019299076698823435
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,1,0.12829253322883963,0.02171999067037161
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,2,0.14376972876263758,0.01958044246087685
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,3,0.15086923915120196,0.021138264485206653
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,4,0.16351475231669602,0.022960644645770672
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,5,0.1819885068499616,0.025117696095213714
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,6,0.21080603615334742,0.027275961926729878
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,7,0.22590777549201374,0.02835077699476031
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,8,0.24603198832698336,0.028081471397682776
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,9,0.2748261831325848,0.0269993374106598
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,10,0.2993548365455854,0.025693791142494402
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,11,0.2879381345353017,0.023534908072720795
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,token_aligned,12,0.34325183776475554,0.026354706664933395
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,0,0.5982813118884729,0.1864251834234944
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,1,0.6632440390474579,0.1806374708647068
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,2,0.689805236942548,0.1367103638905789
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,3,0.6791880421329259,0.13585567429978884
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,4,0.70292987302133,0.14469882621789204
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,5,0.7201742801927171,0.15986041462498315
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,6,0.7299272499352327,0.18098806631983125
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,7,0.7423512882146945,0.19881912035900923
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,8,0.7620992056213135,0.1937616686344982
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,9,0.7593659255697153,0.18989895785235658
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,10,0.7541297786230334,0.18494029042239504
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,11,0.7411720318768381,0.18219738064674942
goldfish-models/rus_cyrl_1000mb,goldfish-models/zho_hans_100mb,flores,sgpt,12,0.7592574436766513,0.19286758434691267
