model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,0,0.6186024288691779,0.19681214456209004
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,1,0.6787161139956253,0.200556091679176
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,2,0.7135399573909492,0.13821151447630883
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,3,0.7158610072394375,0.10844989307336055
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,4,0.697139725483371,0.11029583270421311
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,5,0.7033854659500431,0.12053081031174687
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,6,0.7148219879531279,0.1327430144480415
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,7,0.724820794441994,0.15023265488177742
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,8,0.7381149443928092,0.15824132291502233
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,9,0.7581093312745214,0.15774234790172054
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,10,0.762671689009598,0.15493162271265856
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,11,0.758627346690517,0.15074802968746231
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,mean_pool,12,0.7628347342476168,0.15057437014872244
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,0,0.36245951765977946,0.016410171735234905
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,1,0.3396865060101333,0.02127299720191161
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,2,0.4106499823088299,0.020112416743455038
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,3,0.44013125212968096,0.02091830380827175
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,4,0.44919101141683293,0.022863277537170865
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,5,0.4452748597270286,0.026229453918916883
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,6,0.42715947808763227,0.031089784580632714
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,7,0.4141729549185176,0.033918505469933254
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,8,0.40807924072658835,0.03477149868657017
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,9,0.40362946060963517,0.034066186857651
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,10,0.3931556278177029,0.03178326929866761
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,11,0.3845785444754635,0.02893083765454487
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,token_aligned,12,0.3829566954958001,0.027096472616399185
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,0,0.6238102658046497,0.1918930308113351
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,1,0.6708378376537727,0.20539666677079077
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,2,0.7123396467568172,0.15995624761317714
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,3,0.7128249790975092,0.14041834426691074
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,4,0.6887035446568468,0.14862770244417745
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,5,0.6943638327199562,0.16944924692196697
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,6,0.7183527146026635,0.18662761341910866
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,7,0.7278347174229179,0.18739925346615388
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,8,0.7523209744333921,0.1690298812736304
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,9,0.779182710653947,0.15848932368258087
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,10,0.7819427517933445,0.1502211563144616
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,11,0.7783815395168768,0.14436462013645301
goldfish-models/rus_cyrl_100mb,goldfish-models/deu_latn_100mb,flores,sgpt,12,0.7796869575262434,0.14173376435601376
