model_a,model_b,dataset,setting,layer,cka_matched,cka_shuffled
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,0,0.56886501016139,0.19066584310273663
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,1,0.623398703857854,0.1880109058314151
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,2,0.5926001452978794,0.1070888339730435
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,3,0.627131633361081,0.10173036032347738
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,4,0.6797997390940869,0.10979062652390768
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,5,0.7097452107950863,0.11082849404521074
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,6,0.7455253409027818,0.12592408460010268
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,7,0.7663242429851587,0.1493208502108084
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,8,0.7788868697805331,0.17346789351187736
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,9,0.7881735464550667,0.17960598125943988
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,10,0.7866953930044883,0.18176051839591184
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,11,0.7725718252250108,0.18008196624889944
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,mean_pool,12,0.7740732296588773,0.19263873213080535
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,0,0.5111913942369126,0.012958208132150269
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,1,0.43232918941957943,0.024225356417304302
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,2,0.4990532874195934,0.02215440111183831
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,3,0.5280035835641607,0.023660731524939162
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,4,0.5374467832980095,0.026630010936083883
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,5,0.5347998117991072,0.028947140419988526
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,6,0.5230092727262845,0.03234849833594392
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,7,0.5147143805623384,0.036308891767118615
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,8,0.5059588418837696,0.03799599905664062
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,9,0.501790369109308,0.03717111799220814
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,10,0.48641281143164133,0.03428896268044298
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,11,0.46308327131457067,0.030450044351300665
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,token_aligned,12,0.46361967516960173,0.030395657906589806
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,0,0.5728491639143695,0.19853055736203543
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,1,0.6698092449227234,0.2277863196177465
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,2,0.6984504249223059,0.1796600898304667
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,3,0.7131201835219649,0.1779738633616782
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,4,0.7396083863914334,0.19418381184248804
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,5,0.7586808375595384,0.1988947354093843
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,6,0.7715843672787087,0.2016919549693206
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,7,0.7863625859693664,0.21305328642305577
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,8,0.7940428785901044,0.2175647555209588
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,9,0.802182052366813,0.2051122749134504
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,10,0.8009043084334194,0.19430760752778625
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,11,0.7882688872393936,0.18696281609656065
goldfish-models/spa_latn_1000mb,goldfish-models/eng_latn_100mb,flores,sgpt,12,0.7865472446711507,0.19187075477889626
